cell,integration_cluster,cell_type,sample_type
X157004353719013.N,3,Pro-angiogenesis Macrophage,N
X157004366268659.N,2,Pro-angiogenesis Macrophage,N
X157004366298333.N,2,Pro-angiogenesis Macrophage,N
X157004366301596.N,2,Pro-angiogenesis Macrophage,N
X157004384352606.N,7,Pro-angiogenesis Macrophage,N
X157004384398252.N,2,Pro-angiogenesis Macrophage,N
X157004384561012.N,11,cDC1,N
X157004384845164.N,6,Natural killer cell,N
X157004384877918.N,3,Pro-angiogenesis Macrophage,N
X157004384882012.N,2,Pro-angiogenesis Macrophage,N
X157071984740587.N,2,Pro-angiogenesis Macrophage,N
X157071999350635.N,3,Pro-angiogenesis Macrophage,N
X157072011156398.N,2,Macrophage,N
X157072011450155.N,2,Pro-angiogenesis Macrophage,N
X157072030099310.N,4,Macrophage,N
X157072030615790.N,6,Natural killer cell,N
X157072030808931.N,1,Effector/Memory CD4+ T cells,N
X157140449934134.N,2,Pro-angiogenesis Macrophage,N
X157140450405598.N,6,Natural killer cell,N
X157140450494382.N,3,Pro-angiogenesis Macrophage,N
X157140462254502.N,6,Natural killer cell,N
X157140462528235.N,3,Pro-angiogenesis Macrophage,N
X157140462550389.N,0,Effector/Memory CD4+ T cells,N
X157140481338203.N,3,Pro-angiogenesis Macrophage,N
X157140481595741.N,0,Effector/Memory CD4+ T cells,N
X157140481849646.N,0,CD4+ T cell,N
X157477590125478.N,2,Pro-angiogenesis Macrophage,N
X157477590222638.N,0,Effector/Memory CD4+ T cells,N
X157477605071284.N,2,Pro-angiogenesis Macrophage,N
X157477605330332.N,3,Pro-angiogenesis Macrophage,N
X157477605403869.N,4,Pro-angiogenesis Macrophage,N
X157477617752358.N,3,Pro-angiogenesis Macrophage,N
X157477636594972.N,1,Effector/Memory CD4+ T cells,N
X157486582721309.N,9,Pro-angiogenesis Macrophage,N
X157486582786870.N,3,Pro-angiogenesis Macrophage,N
X157486583049116.N,3,Pro-angiogenesis Macrophage,N
X157486597166965.N,2,Pro-angiogenesis Macrophage,N
X157486597199798.N,2,Pro-angiogenesis Macrophage,N
X157486597455211.N,0,Blood Cell,N
X157486597748979.N,1,Effector/Memory CD4+ T cells,N
X157486597983580.N,3,Pro-angiogenesis Macrophage,N
X157486610073524.N,0,Effector/Memory CD4+ T cells,N
X157486610299189.N,0,Effector/Memory CD4+ T cells,N
X157486628588902.N,1,Effector/Memory CD4+ T cells,N
X157486628620651.N,3,Pro-angiogenesis Macrophage,N
X157486629411227.N,15,pDC,N
X157536914094430.N,3,Pro-angiogenesis Macrophage,N
X157536914687835.N,0,Effector/Memory CD8+ T cells,N
X157536928820150.N,2,Pro-angiogenesis Macrophage,N
X157536928840115.N,6,Natural killer cell,N
X157536928845043.N,3,Pro-angiogenesis Macrophage,N
X157536941914861.N,8,Lung Cancer Cell,N
X157537746700637.N,0,Effector/Memory CD4+ T cells,N
X157537747252980.N,2,Macrophage,N
X157537747454894.N,2,Pro-angiogenesis Macrophage,N
X157537747556198.N,4,Pro-angiogenesis Macrophage,N
X157537747556779.N,2,Pro-angiogenesis Macrophage,N
X157537765899182.N,6,Natural killer cell,N
X157537766061877.N,2,Pro-angiogenesis Macrophage,N
X157537766131437.N,3,Pro-angiogenesis Macrophage,N
X157537766135604.N,3,Pro-angiogenesis Macrophage,N
X157537766173028.N,6,Natural killer cell,N
X157562549680493.N,4,Effector/Memory CD8+ T cells,N
X157562550209381.N,6,Natural killer cell,N
X157562550467508.N,3,Pro-angiogenesis Macrophage,N
X157562564396982.N,6,Natural killer cell,N
X157562564885916.N,7,Macrophage,N
X157562577565598.N,7,Macrophage,N
X157562577739173.N,14,Mast cell,N
X157613955405604.N,3,Pro-angiogenesis Macrophage,N
X157613955893598.N,4,Naive CD4+ T cells,N
X157613970377563.N,13,Lung Cancer Cell,N
X157613982672619.N,13,Lung Cancer Cell,N
X157613982927148.N,4,Phagocytosis Macrophage,N
X157684150949662.N,2,Pro-angiogenesis Macrophage,N
X157684151049437.N,2,Pro-angiogenesis Macrophage,N
X157684151302366.N,0,Effector/Memory CD4+ T cells,N
X157684151564661.N,10,Normal Fibroblast,N
X157684165667612.N,2,Pro-angiogenesis Macrophage,N
X157684166485731.N,0,Effector/Memory CD4+ T cells,N
X157684178769766.N,1,Effector/Memory CD4+ T cells,N
X157684179004126.N,7,Pro-angiogenesis Macrophage,N
X157684197083573.N,0,Effector/Memory CD4+ T cells,N
X157684197190572.N,0,Effector/Memory CD4+ T cells,N
X157684197349811.N,1,Effector/Memory CD4+ T cells,N
X157690324965734.N,2,Pro-angiogenesis Macrophage,N
X157690325784940.N,8,Normal Fibroblast,N
X157690325842203.N,3,Pro-angiogenesis Macrophage,N
X157690339736990.N,12,Endothelial Cells,N
X157690339909019.N,6,Natural killer cell,N
X157690352557292.N,3,Pro-angiogenesis Macrophage,N
X157690353109742.N,1,Effector/Memory CD4+ T cells,N
X157690371099507.N,1,Effector/Memory CD8+ T cells,N
X157690371107636.N,3,Pro-angiogenesis Macrophage,N
X157690371193692.N,2,Pro-angiogenesis Macrophage,N
X157690371950876.N,2,Pro-angiogenesis Macrophage,N
X160440043560363.N,2,Pro-angiogenesis Macrophage,N
X160440043628892.N,3,Pro-angiogenesis Macrophage,N
X160440043652852.N,3,Macrophage,N
X160440043825590.N,4,Macrophage,N
X160440043886372.N,0,Effector/Memory CD4+ T cells,N
X160440044087140.N,1,CD4 or CD8 T cell,N
X160440044088621.N,4,Pro-angiogenesis Macrophage,N
X160440071150877.N,0,Effector/Memory CD4+ T cells,N
X160440089767140.N,4,Macrophage,N
X160440089992107.N,3,Pro-angiogenesis Macrophage,N
X160440090024349.N,0,CD4 or CD8 T cell,N
X160440090221355.N,0,Natural killer cell,N
X160447828223774.N,8,Lung Cancer Cell,N
X160447828445101.N,1,CD8 T or NK cell,N
X160447828977454.N,6,Natural killer cell,N
X160447842932662.N,1,CD8 T or NK cell,N
X160447843121590.N,0,Effector/Memory CD4+ T cells,N
X160447855548140.N,0,Effector/Memory CD4+ T cells,N
X160447855814900.N,8,Normal Fibroblast,N
X160447856012211.N,6,Natural killer cell,N
X160447856331502.N,2,Pro-angiogenesis Macrophage,N
X160447875110748.N,2,Pro-angiogenesis Macrophage,N
X160785117402870.N,9,Pro-angiogenesis Macrophage,N
X160785117403510.N,2,Pro-angiogenesis Macrophage,N
X160785117592492.N,5,Pro-angiogenesis Macrophage,N
X160785117703019.N,2,Pro-angiogenesis Macrophage,N
X160785132800749.N,9,Pro-angiogenesis Macrophage,N
X160785163737843.N,6,Natural killer cell,N
X160785164291446.N,4,Pro-angiogenesis Macrophage,N
X160903094724462.N,0,Effector/Memory CD4+ T cells,N
X160903095012717.N,0,Effector/Memory CD4+ T cells,N
X160903095019942.N,0,Blood Cell,N
X160903095045019.N,3,Pro-angiogenesis Macrophage,N
X160903095347428.N,3,Pro-angiogenesis Macrophage,N
X160903095539956.N,1,Effector/Memory CD8+ T cells,N
X160903109752676.N,0,Effector/Memory CD4+ T cells,N
X160903109925091.N,4,Pro-angiogenesis Macrophage,N
X160903110019372.N,0,Effector/Memory CD4+ T cells,N
X160903122048733.N,0,Effector/Memory CD4+ T cells,N
X160903122048876.N,6,Natural killer cell,N
X160903140895669.N,1,Effector/Memory CD8+ T cells,N
X160903141386597.N,2,Pro-angiogenesis Macrophage,N
X160903141673910.N,6,Natural killer cell,N
X160910610909619.N,9,Pro-angiogenesis Macrophage,N
X160910610971941.N,0,Effector/Memory CD4+ T cells,N
X160910610983260.N,6,Natural killer cell,N
X160910625950508.N,3,Pro-angiogenesis Macrophage,N
X160910626412957.N,7,Macrophage,N
X160910626475379.N,1,Effector/Memory CD4+ T cells,N
X160910657113374.N,0,Naive CD4+ T cells,N
X160928731097371.N,6,Natural killer cell,N
X160928745352502.N,0,Effector/Memory CD4+ T cells,N
X160928745545051.N,2,Pro-angiogenesis Macrophage,N
X160928745580956.N,2,Pro-angiogenesis Macrophage,N
X160928745834227.N,3,Pro-angiogenesis Macrophage,N
X160928757640435.N,8,Lung Cancer Cell,N
X160928758348717.N,1,Effector/Memory CD8+ T cells,N
X160928758454699.N,2,Pro-angiogenesis Macrophage,N
X160928776538868.N,6,Natural killer cell,N
X160928776709941.N,4,Blood Cell,N
X160990067866028.N,3,Pro-angiogenesis Macrophage,N
X160990068074358.N,0,CD4 or CD8 T cell,N
X160990068099892.N,0,Blood Cell,N
X160990068620075.N,4,Pro-angiogenesis Macrophage,N
X160990082493214.N,6,Natural killer cell,N
X160990082549677.N,0,T regulatory cells,N
X160990082784692.N,0,Blood Cell,N
X160990083333413.N,3,Pro-angiogenesis Macrophage,N
X160990083369691.N,7,Pro-inflammatory Macrophage,N
X160990095691108.N,8,Stromal Cell,N
X160990095862195.N,0,Naive CD4+ T cells,N
X160990114270557.N,0,Naive CD4+ T cells,N
X160990114526964.N,2,Pro-angiogenesis Macrophage,N
X160990114826163.N,1,Effector/Memory CD4+ T cells,N
X160996510295782.N,2,Pro-angiogenesis Macrophage,N
X160996510820726.N,2,Macrophage,N
X160996524976924.N,2,Pro-angiogenesis Macrophage,N
X160996525197172.N,0,Effector/Memory CD8+ T cells,N
X160996525272484.N,3,Pro-angiogenesis Macrophage,N
X160996525292395.N,3,Pro-angiogenesis Macrophage,N
X160996525492142.N,3,Pro-angiogenesis Macrophage,N
X160996537613148.N,4,Pro-angiogenesis Macrophage,N
X160996538342196.N,8,Non Blood Cell,N
X160996556696301.N,2,Pro-angiogenesis Macrophage,N
X161340122320308.N,12,Endothelial Cells,N
X161340122381172.N,3,Pro-angiogenesis Macrophage,N
X161340135172532.N,3,Pro-angiogenesis Macrophage,N
X161340153777510.N,2,Pro-angiogenesis Macrophage,N
X161340154304861.N,0,Effector/Memory CD4+ T cells,N
X161340154342323.N,3,Pro-angiogenesis Macrophage,N
X161411780003572.N,2,Pro-angiogenesis Macrophage,N
X161411780201894.N,2,Pro-angiogenesis Macrophage,N
X161411780234037.N,2,Pro-angiogenesis Macrophage,N
X161411795172707.N,2,Pro-angiogenesis Macrophage,N
X161411807688541.N,0,T or NK Cell,N
X161411808053171.N,2,Pro-angiogenesis Macrophage,N
X161411826371893.N,3,Pro-angiogenesis Macrophage,N
X161411826673389.N,0,Effector/Memory CD4+ T cells,N
X161451911310198.N,2,Pro-angiogenesis Macrophage,N
X161451911531365.N,3,Pro-angiogenesis Macrophage,N
X161451911567669.N,3,Pro-angiogenesis Macrophage,N
X161451926275894.N,0,Effector/Memory CD4+ T cells,N
X161451926578979.N,3,Pro-angiogenesis Macrophage,N
X161451957505398.N,2,Pro-angiogenesis Macrophage,N
X161462663146268.N,5,Blood Cell,N
X161462663200110.N,7,Pro-angiogenesis Macrophage,N
X161462663633755.N,8,Lung Cancer Cell,N
X161462663658340.N,3,Pro-angiogenesis Macrophage,N
X161462663953190.N,2,Pro-angiogenesis Macrophage,N
X161462663965917.N,2,Pro-angiogenesis Macrophage,N
X161462676481756.N,0,Naive CD4+ T cells,N
X161462676581172.N,0,Effector/Memory CD4+ T cells,N
X161462694623532.N,1,Effector/Memory CD8+ T cells,N
X161462695180205.N,2,Pro-angiogenesis Macrophage,N
X161478620596661.N,3,Pro-angiogenesis Macrophage,N
X161478620691310.N,2,Pro-angiogenesis Macrophage,N
X161478620953372.N,11,cDC2,N
X161478635112677.N,3,Pro-angiogenesis Macrophage,N
X161478635645157.N,2,Pro-angiogenesis Macrophage,N
X161478648183205.N,0,Naive CD4+ T cells,N
X161478648486188.N,6,Natural killer cell,N
X161478666770340.N,0,Blood Cell,N
X161548548032813.N,1,Effector/Memory CD4+ T cells,N
X161548548074781.N,2,Pro-angiogenesis Macrophage,N
X161548562978667.N,2,Pro-angiogenesis Macrophage,N
X161548575140148.N,1,Effector/Memory CD8+ T cells,N
X161548575291766.N,6,Natural killer cell,N
X161548575587100.N,0,Effector/Memory CD4+ T cells,N
X161864227876062.N,4,Macrophage,N
X161864242612571.N,2,Pro-angiogenesis Macrophage,N
X161864255688091.N,8,Lung Cancer Cell,N
X161864256011683.N,1,CD4 or CD8 T cell,N
X161864274011878.N,1,Natural killer cell,N
X161864274307821.N,11,Macrophage or Dendritic Cell,N
X161864274635108.N,6,Natural killer cell,N
X161864274831221.N,2,Pro-angiogenesis Macrophage,N
X161864274856238.N,7,Macrophage,N
X161864274893083.N,2,Pro-angiogenesis Macrophage,N
X161883152673133.N,0,Effector/Memory CD4+ T cells,N
X161883152869275.N,3,Pro-angiogenesis Macrophage,N
X161883152899365.N,0,Effector/Memory CD4+ T cells,N
X161883167570742.N,3,Pro-angiogenesis Macrophage,N
X161883179859307.N,3,Pro-angiogenesis Macrophage,N
X161883198773532.N,6,Natural killer cell,N
X161883199519596.N,2,Pro-angiogenesis Macrophage,N
X161889595345717.N,7,Pro-angiogenesis Macrophage,N
X161889595607349.N,6,Natural killer cell,N
X161889595799838.N,0,Effector/Memory CD4+ T cells,N
X161889609697629.N,0,Effector/Memory CD4+ T cells,N
X161889610054052.N,2,Pro-angiogenesis Macrophage,N
X161889610262884.N,2,Pro-angiogenesis Macrophage,N
X161889610263860.N,1,Effector/Memory CD4+ T cells,N
X161889610583411.N,0,Effector/Memory CD4+ T cells,N
X161889622321908.N,14,Mast cell,N
X161889641744109.N,1,Effector/Memory CD8+ T cells,N
X161889641748837.N,2,Phagocytosis Macrophage,N
X161889641975131.N,2,Pro-angiogenesis Macrophage,N
X161889642047262.N,2,Pro-angiogenesis Macrophage,N
X161890937498524.N,9,Pro-angiogenesis Macrophage,N
X161890937756020.N,2,Pro-angiogenesis Macrophage,N
X161890951943971.N,2,Pro-angiogenesis Macrophage,N
X161890964781491.N,3,Pro-angiogenesis Macrophage,N
X161890983655709.N,3,Pro-angiogenesis Macrophage,N
X161890983660853.N,0,Effector/Memory CD4+ T cells,N
X161890983864694.N,2,Pro-angiogenesis Macrophage,N
X161890983918942.N,0,Effector/Memory CD4+ T cells,N
X161890983929700.N,0,Effector/Memory CD4+ T cells,N
X161890984122669.N,8,Lung Cancer Cell,N
X161890984220955.N,3,Pro-angiogenesis Macrophage,N
X161893219424675.N,1,Effector/Memory CD8+ T cells,N
X161893234198828.N,2,Macrophage,N
X161893265132276.N,6,Natural killer cell,N
X161960462530916.N,1,Effector/Memory CD4+ T cells,N
X161960462534509.N,2,Pro-angiogenesis Macrophage,N
X161960462605086.N,1,Effector/Memory CD4+ T cells,N
X161960476699059.N,7,Pro-angiogenesis Macrophage,N
X161960490035115.N,3,Pro-angiogenesis Macrophage,N
X162001532868398.N,0,Effector/Memory CD4+ T cells,N
X162001533126565.N,3,Pro-angiogenesis Macrophage,N
X162001533164261.N,2,Pro-angiogenesis Macrophage,N
X162001533228766.N,2,Pro-angiogenesis Macrophage,N
X162001533451550.N,1,Effector/Memory CD4+ T cells,N
X162001547811043.N,6,Natural killer cell,N
X162001548142516.N,2,Pro-angiogenesis Macrophage,N
X162001559869862.N,3,Pro-angiogenesis Macrophage,N
X162001560160093.N,3,Pro-angiogenesis Macrophage,N
X162001560661404.N,3,Pro-angiogenesis Macrophage,N
X162001578781981.N,2,Pro-angiogenesis Macrophage,N
X162001578842934.N,0,Effector/Memory CD4+ T cells,N
X162001579011427.N,6,Natural killer cell,N
X162078842050910.N,0,Blood Cell,N
X162078842083164.N,0,Naive CD4+ T cells,N
X162078857054509.N,1,Effector/Memory CD8+ T cells,N
X162078857223462.N,2,Pro-angiogenesis Macrophage,N
X162078857246950.N,0,Naive CD4+ T cells,N
X162078857485668.N,3,Pro-angiogenesis Macrophage,N
X162078869339355.N,4,Any Cell,N
X162078869383588.N,7,Pro-inflammatory Macrophage,N
X162078869632870.N,4,Macrophage,N
X162078869895542.N,2,Pro-angiogenesis Macrophage,N
X162078888422694.N,0,Effector/Memory CD4+ T cells,N
X162090653235628.N,6,Natural killer cell,N
X162090653239027.N,4,Naive CD4+ T cells,N
X162090668182755.N,1,Effector/Memory CD8+ T cells,N
X162090668484837.N,4,Macrophage,N
X162090680473453.N,3,Pro-angiogenesis Macrophage,N
X162090680735580.N,2,Pro-angiogenesis Macrophage,N
X162090699377580.N,0,Effector/Memory CD4+ T cells,N
X162090699380636.N,0,Effector/Memory CD4+ T cells,N
X162090699640157.N,0,Effector/Memory CD4+ T cells,N
X164631931698403.N,3,Pro-angiogenesis Macrophage,N
X164631946685283.N,1,Effector/Memory CD4+ T cells,N
X164631947107621.N,0,Effector/Memory CD4+ T cells,N
X164631958899556.N,1,CD4 or CD8 T cell,N
X164631958936413.N,4,Pro-angiogenesis Macrophage,N
X164631959760157.N,6,Natural killer cell,N
X164631977778542.N,6,Natural killer cell,N
X164631978142644.N,2,Pro-angiogenesis Macrophage,N
X164631978593515.N,6,Natural killer cell,N
X164698906286438.N,7,Pro-inflammatory Macrophage,N
X164698906351452.N,0,Naive CD4+ T cells,N
X164698907097894.N,2,Pro-angiogenesis Macrophage,N
X164698907134187.N,2,Pro-angiogenesis Macrophage,N
X164698921031606.N,8,Lung Cancer Cell,N
X164698921548021.N,3,Pro-angiogenesis Macrophage,N
X164698934394078.N,2,Pro-angiogenesis Macrophage,N
X164698952742813.N,3,Pro-angiogenesis Macrophage,N
X164698952972573.N,5,Blood Cell,N
X164698953201973.N,3,Pro-angiogenesis Macrophage,N
X164698953202926.N,2,Pro-angiogenesis Macrophage,N
X164753399237996.N,2,Pro-angiogenesis Macrophage,N
X164753399466732.N,4,Macrophage,N
X164753413356955.N,0,Effector/Memory CD4+ T cells,N
X164753414208294.N,6,Natural killer cell,N
X164753426279141.N,1,Effector/Memory CD4+ T cells,N
X164753426312051.N,3,Pro-angiogenesis Macrophage,N
X164753426795293.N,8,Lung Cancer Cell,N
X164753445116190.N,3,Pro-angiogenesis Macrophage,N
X164753445349788.N,2,Pro-angiogenesis Macrophage,N
X164753445370740.N,2,Pro-angiogenesis Macrophage,N
X164761049095461.N,6,Natural killer cell,N
X164761049884955.N,1,Blood Cell,N
X164761063774563.N,6,Natural killer cell,N
X164761076652915.N,9,Pro-angiogenesis Macrophage,N
X164761095227294.N,2,Pro-angiogenesis Macrophage,N
X164769505073051.N,0,Effector/Memory CD4+ T cells,N
X164769519783324.N,0,Effector/Memory CD4+ T cells,N
X164769520335606.N,2,Pro-angiogenesis Macrophage,N
X164818762717542.N,4,Naive CD4+ T cells,N
X164818763048814.N,3,Pro-angiogenesis Macrophage,N
X164818763564829.N,0,Blood Cell,N
X164818790312677.N,7,Pro-angiogenesis Macrophage,N
X164818808948662.N,8,Lung Cancer Cell,N
X164818809404206.N,3,Pro-angiogenesis Macrophage,N
X164818809703211.N,12,Endothelial Cells,N
X165164910569389.N,6,Natural killer cell,N
X165164924923188.N,6,Natural killer cell,N
X165164925009262.N,1,Effector/Memory CD8+ T cells,N
X165164956904174.N,0,Effector/Memory CD4+ T cells,N
X165164957256117.N,2,Pro-angiogenesis Macrophage,N
X165188398438748.N,0,Effector/Memory CD4+ T cells,N
X165188398632358.N,7,Pro-angiogenesis Macrophage,N
X165188398955292.N,0,Effector/Memory CD4+ T cells,N
X165188413278059.N,3,Pro-angiogenesis Macrophage,N
X165188425898779.N,6,Natural killer cell,N
X165188426459940.N,2,Pro-angiogenesis Macrophage,N
X165188444809061.N,6,Natural killer cell,N
X165232421780205.N,2,Pro-angiogenesis Macrophage,N
X165232421858540.N,3,Pro-angiogenesis Macrophage,N
X165232422009772.N,0,CD4 or CD8 T cell,N
X165232422340917.N,0,Effector/Memory CD4+ T cells,N
X165232422373230.N,9,Pro-angiogenesis Macrophage,N
X165232422546661.N,2,Pro-angiogenesis Macrophage,N
X165232436500836.N,2,Pro-angiogenesis Macrophage,N
X165232436996316.N,3,Pro-angiogenesis Macrophage,N
X165232437062877.N,0,Blood Cell,N
X165232449055539.N,3,Pro-angiogenesis Macrophage,N
X165232449378742.N,7,Pro-inflammatory Macrophage,N
X165232449874724.N,0,Effector/Memory CD4+ T cells,N
X165232449895645.N,0,Effector/Memory CD4+ T cells,N
X165302215235510.N,4,Naive CD4+ T cells,N
X165302229940957.N,3,Pro-angiogenesis Macrophage,N
X165302230178019.N,1,Effector/Memory CD4+ T cells,N
X165302230474142.N,1,T or NK Cell,N
X165302242274659.N,4,Pro-angiogenesis Macrophage,N
X165302242531182.N,2,Pro-angiogenesis Macrophage,N
X165302242601307.N,4,Pro-angiogenesis Macrophage,N
X165302242794331.N,2,Pro-angiogenesis Macrophage,N
X165302242819499.N,0,Naive CD4+ T cells,N
X165302243028254.N,1,Effector/Memory CD8+ T cells,N
X165302261733109.N,11,LAMP3 cDC,N
X165302261901678.N,6,Natural killer cell,N
X165325568961772.N,0,Effector/Memory CD4+ T cells,N
X165325569738467.N,4,Pro-angiogenesis Macrophage,N
X165325583562604.N,4,Pro-angiogenesis Macrophage,N
X165325584062684.N,2,Pro-angiogenesis Macrophage,N
X165325584063707.N,2,Pro-angiogenesis Macrophage,N
X165325584358300.N,0,Effector/Memory CD4+ T cells,N
X165325584385974.N,14,Mast cell,N
X165325596900597.N,2,Pro-angiogenesis Macrophage,N
X165325615000821.N,2,Pro-angiogenesis Macrophage,N
X165325615327067.N,9,Pro-angiogenesis Macrophage,N
X165327850552734.N,6,Natural killer cell,N
X165327850617260.N,1,Effector/Memory CD8+ T cells,N
X165327877860651.N,0,Effector/Memory CD4+ T cells,N
X165327878176038.N,7,Macrophage,N
X165327878404405.N,3,Pro-angiogenesis Macrophage,N
X165327897258931.N,2,Pro-angiogenesis Macrophage,N
X165327897319348.N,2,Pro-angiogenesis Macrophage,N
X165385698761116.N,3,Pro-angiogenesis Macrophage,N
X165385698921307.N,6,Natural killer cell,N
X165385699182427.N,3,Pro-angiogenesis Macrophage,N
X165385699280611.N,4,Pro-angiogenesis Macrophage,N
X165385713077165.N,0,Effector/Memory CD4+ T cells,N
X165385713139125.N,2,Pro-angiogenesis Macrophage,N
X165385713376179.N,2,Pro-angiogenesis Macrophage,N
X165385713403749.N,2,Pro-angiogenesis Macrophage,N
X165385713411868.N,3,Pro-angiogenesis Macrophage,N
X165385713694963.N,2,Pro-angiogenesis Macrophage,N
X165385713895326.N,2,Pro-angiogenesis Macrophage,N
X165385725692710.N,2,Pro-angiogenesis Macrophage,N
X165385726520605.N,0,Effector/Memory CD4+ T cells,N
X165385744870750.N,7,Pro-inflammatory Macrophage,N
X165738959759787.N,6,Natural killer cell,N
X165738959989165.N,3,Pro-angiogenesis Macrophage,N
X165738960010675.N,6,Natural killer cell,N
X165738974177715.N,3,Pro-angiogenesis Macrophage,N
X165738974205878.N,8,Any Cell,N
X165738974472052.N,4,Macrophage,N
X165738974725997.N,3,Pro-angiogenesis Macrophage,N
X165738974927076.N,4,Macrophage,N
X165738987015013.N,6,Natural killer cell,N
X165738987248044.N,0,Effector/Memory CD4+ T cells,N
X165738987276645.N,3,Pro-angiogenesis Macrophage,N
X165739005929324.N,6,Natural killer cell,N
X165739006224740.N,2,Pro-angiogenesis Macrophage,N
X165739006449893.N,3,Pro-angiogenesis Macrophage,N
X165741375711134.N,0,Effector/Memory CD4+ T cells,N
X165741375736550.N,0,Effector/Memory CD4+ T cells,N
X165741375895414.N,4,Natural killer cell,N
X165741376194973.N,2,Pro-angiogenesis Macrophage,N
X165741390379427.N,0,Effector/Memory CD4+ T cells,N
X165741390584667.N,3,Pro-angiogenesis Macrophage,N
X165741390640883.N,3,Pro-angiogenesis Macrophage,N
X165741390883237.N,13,Lung Cancer Cell,N
X165741402642845.N,3,Pro-angiogenesis Macrophage,N
X165741403425078.N,0,Effector/Memory CD4+ T cells,N
X165741403495710.N,3,Pro-angiogenesis Macrophage,N
X165741421776243.N,2,Pro-angiogenesis Macrophage,N
X165851836569309.N,6,Natural killer cell,N
X165851836599518.N,2,Pro-angiogenesis Macrophage,N
X165851836631916.N,6,Natural killer cell,N
X165851851316532.N,3,Pro-angiogenesis Macrophage,N
X165851851836132.N,3,Pro-angiogenesis Macrophage,N
X165858413264284.N,7,Pro-inflammatory Macrophage,N
X165858413820636.N,2,Pro-angiogenesis Macrophage,N
X165858414025949.N,0,Effector/Memory CD4+ T cells,N
X165858414053726.N,1,Natural killer cell,N
X165858414115635.N,0,Blood Cell,N
X165858427983798.N,3,Pro-angiogenesis Macrophage,N
X165858440567147.N,3,Pro-angiogenesis Macrophage,N
X165858459736307.N,1,CD4 or CD8 T cell,N
X165860292606883.N,0,Effector/Memory CD4+ T cells,N
X165860292615524.N,1,Blood Cell,N
X165860292652276.N,3,Pro-angiogenesis Macrophage,N
X165860307781876.N,1,CD8 T or NK cell,N
X165860307814190.N,3,Pro-angiogenesis Macrophage,N
X165860319644390.N,2,Pro-angiogenesis Macrophage,N
X165860319905630.N,7,Macrophage,N
X165945520799027.N,2,Pro-angiogenesis Macrophage,N
X165945521129781.N,3,Pro-angiogenesis Macrophage,N
X165945521326958.N,7,Pro-inflammatory Macrophage,N
X165945535580534.N,2,Pro-angiogenesis Macrophage,N
X165945535838451.N,2,Pro-angiogenesis Macrophage,N
X165945536036126.N,2,Pro-angiogenesis Macrophage,N
X165945536039156.N,2,Pro-angiogenesis Macrophage,N
X165945547901870.N,0,Effector/Memory CD4+ T cells,N
X165945548327341.N,1,Effector/Memory CD8+ T cells,N
X165945548389803.N,3,Pro-angiogenesis Macrophage,N
X165945548627171.N,2,Pro-angiogenesis Macrophage,N
X165945566714270.N,0,Effector/Memory CD4+ T cells,N
X165945567201181.N,3,Pro-angiogenesis Macrophage,N
X165945567270629.N,4,Natural killer cell,N
X165946206579117.N,6,Natural killer cell,N
X165946219444518.N,3,Pro-angiogenesis Macrophage,N
X165946219476724.N,2,Pro-angiogenesis Macrophage,N
X165946219719908.N,0,Effector/Memory CD4+ T cells,N
X165946237873003.N,7,Macrophage,N
X165946238551963.N,3,Pro-angiogenesis Macrophage,N
X165946238589659.N,6,Natural killer cell,N
X166264153786165.N,0,Effector/Memory CD4+ T cells,N
X166264153984364.N,3,Pro-angiogenesis Macrophage,N
X166264168963294.N,4,Macrophage,N
X166264168991526.N,3,Pro-angiogenesis Macrophage,N
X166264180722013.N,3,Pro-angiogenesis Macrophage,N
X166264180985205.N,2,Pro-angiogenesis Macrophage,N
X166264181246196.N,4,Naive CD4+ T cells,N
X166264181548787.N,4,Macrophage,N
X166264181549283.N,4,Pro-angiogenesis Macrophage,N
X166264199633702.N,7,Macrophage,N
X166264199666469.N,0,T or NK Cell,N
X166264199898988.N,7,Macrophage,N
X166288044177835.N,3,Pro-angiogenesis Macrophage,N
X166288044709675.N,2,Pro-angiogenesis Macrophage,N
X166288059386804.N,2,Pro-angiogenesis Macrophage,N
X166288059653413.N,3,Pro-angiogenesis Macrophage,N
X166288071740261.N,4,Naive CD4+ T cells,N
X166288071802150.N,2,Pro-angiogenesis Macrophage,N
X166288072301854.N,0,Naive CD4+ T cells,N
X166288090417908.N,3,Pro-angiogenesis Macrophage,N
X166290877541685.N,3,Pro-angiogenesis Macrophage,N
X166290877730149.N,4,Phagocytosis Macrophage,N
X166290878229726.N,0,Effector/Memory CD4+ T cells,N
X166290890058084.N,0,Effector/Memory CD4+ T cells,N
X166290890079451.N,1,Effector/Memory CD8+ T cells,N
X166290890279772.N,3,Pro-angiogenesis Macrophage,N
X166290890344165.N,2,Pro-angiogenesis Macrophage,N
X166290890378670.N,8,Any Cell,N
X166290890382574.N,3,Pro-angiogenesis Macrophage,N
X166290890804059.N,6,Natural killer cell,N
X166290909518132.N,2,Pro-angiogenesis Macrophage,N
X166332068383598.N,0,Effector/Memory CD4+ T cells,N
X166332082605283.N,6,Natural killer cell,N
X166332095153973.N,4,Macrophage,N
X166332095647134.N,2,Pro-angiogenesis Macrophage,N
X166332114090870.N,3,Pro-angiogenesis Macrophage,N
X166351409699614.N,2,Pro-angiogenesis Macrophage,N
