cell,integration_cluster
X170798592711013_X_.N,4
X170798592935789_X_.N,7
X170798593236195_X_.N,0
X170798593304299_X_.N,1
X170798611385062_X_.N,1
X170798611553699_X_.N,4
X170798611852196_X_.N,13
X170877888380339_X_.N,6
X170877888412900_X_.N,8
X170877888613158_X_.N,13
X170877888650099_X_.N,3
X170877903062758_X_.N,6
X170877903366068_X_.N,4
X170877903386467_X_.N,3
X170877903396252_X_.N,1
X170877915379564_X_.N,0
X170877915450093_X_.N,4
X170877915946228_X_.N,3
X170877915974382_X_.N,0
X170877934005533_X_.N,0
X191026787411686_X_.N,0
X191026787727267_X_.N,2
X191026787896094_X_.N,4
X191026787937124_X_.N,4
X191026802318694_X_.N,1
X191026802617124_X_.N,7
X191026814667493_X_.N,3
X191026814675886_X_.N,7
X191026814928693_X_.N,4
X191026814957916_X_.N,15
X191026833537454_X_.N,4
X191026834042078_X_.N,2
X191080757582172_X_.N,1
X191080757648158_X_.N,3
X191080757684147_X_.N,6
X191080758107365_X_.N,0
X191080789821339_X_.N,0
X191096715111324_X_.N,3
X191096715687796_X_.N,4
X191096742100396_X_.N,13
X191096742406941_X_.N,3
X191096761740085_X_.N,2
X191210531543276_X_.N,3
X191210558778611_X_.N,0
X191210559073068_X_.N,2
X191210559233437_X_.N,2
X191210559330598_X_.N,3
X191210578426668_X_.N,1
X191215631719707_X_.N,2
X191215631821110_X_.N,0
X191215631821659_X_.N,2
X191215632337270_X_.N,6
X191215646694236_X_.N,3
X191215646763436_X_.N,4
X191215646984621_X_.N,8
X191215647014108_X_.N,3
X191215647213341_X_.N,2
X191215659240165_X_.N,1
X191215659866422_X_.N,0
X191215678176491_X_.N,7
X191226637602220_X_.N,2
X191226638448950_X_.N,3
X191226652511139_X_.N,3
X191226652577124_X_.N,2
X191226652845804_X_.N,0
X191226653071773_X_.N,0
X191226653075877_X_.N,2
X191226664873315_X_.N,2
X191226684028766_X_.N,2
X191226684270894_X_.N,6
X191226684521892_X_.N,3
X191553861007733_X_.N,2
X191553861204894_X_.N,1
X191553861211933_X_.N,3
X191553887988981_X_.N,3
X191553907157275_X_.N,6
X191553907374381_X_.N,0
X191576409028331_X_.N,2
X191576409032435_X_.N,0
X191576409852252_X_.N,1
X191576423745909_X_.N,8
X191576424200931_X_.N,3
X191576424438051_X_.N,3
X191576436271973_X_.N,0
X191576437119259_X_.N,3
X191576455637404_X_.N,3
X191576455658731_X_.N,4
X191576455670686_X_.N,2
X191645396954524_X_.N,7
X191645397204403_X_.N,6
X191645397236590_X_.N,2
X191645397707685_X_.N,8
X191645411563875_X_.N,3
X191645411596149_X_.N,3
X191645412349684_X_.N,0
X191645412407221_X_.N,2
X191645412444901_X_.N,1
X191645424925613_X_.N,13
X191645443016606_X_.N,2
X191645443288358_X_.N,4
X191645443909854_X_.N,3
X191647275932965_X_.N,4
X191647290641126_X_.N,7
X191647290710244_X_.N,2
X191647290870516_X_.N,6
X191647291140963_X_.N,0
X191647291205534_X_.N,1
X191647291395484_X_.N,2
X191647303298405_X_.N,6
X191647303518509_X_.N,1
X191647303974181_X_.N,0
X191647303981277_X_.N,1
X191647322064798_X_.N,7
X191647322429677_X_.N,3
X191647322684142_X_.N,3
X191647322881243_X_.N,3
X191691433569068_X_.N,1
X191691433917853_X_.N,4
X191691434116973_X_.N,1
X191691434388190_X_.N,7
X191691434440564_X_.N,0
X191691448577444_X_.N,8
X191691449022709_X_.N,13
X191691449032036_X_.N,6
X191691449126115_X_.N,6
X191691461646638_X_.N,6
X191691461705123_X_.N,6
X191691461707699_X_.N,0
X191691480521115_X_.N,2
X191691480587493_X_.N,1
X191691480590110_X_.N,3
X191708881972059_X_.N,0
X191708882164011_X_.N,3
X191708896872293_X_.N,0
X191708897142508_X_.N,4
X191756825413989_X_.N,1
X191756825680156_X_.N,2
X191756844296603_X_.N,2
X191756844586789_X_.N,3
X191760421809380_X_.N,2
X191760468142437_X_.N,6
X191774126623589_X_.N,4
X191774126983019_X_.N,6
X191774127246053_X_.N,6
X191774138977134_X_.N,3
X191774139234156_X_.N,1
X192101737479467_X_.N,6
X192101738035510_X_.N,4
X192101752421622_X_.N,1
X192101752465637_X_.N,14
X192101764786420_X_.N,2
X192101765208876_X_.N,13
X192121064548259_X_.N,0
X192121064778525_X_.N,3
X192121079257821_X_.N,2
X192121079285619_X_.N,2
X192121079753075_X_.N,2
X192121080047331_X_.N,3
X192121110976243_X_.N,0
X192121111271670_X_.N,2
X192180135287604_X_.N,2
X192180135611124_X_.N,2
X192180147600747_X_.N,3
X192180148170140_X_.N,3
X192180148201332_X_.N,0
X192180167064948_X_.N,2
X192180167329715_X_.N,0
X192255416454070_X_.N,2
X192255416487155_X_.N,3
X192255416719286_X_.N,1
X192255416756123_X_.N,2
X192255417313523_X_.N,2
X192255417314011_X_.N,4
X192255463384926_X_.N,0
X192306956384683_X_.N,2
X192306970782131_X_.N,2
X192306971265331_X_.N,1
X192306971294635_X_.N,3
X192306971626909_X_.N,6
X192306983593844_X_.N,3
X192306983594334_X_.N,4
X192306983683934_X_.N,3
X192306983886179_X_.N,13
X192306984114397_X_.N,8
X192306984117987_X_.N,4
X192307002297699_X_.N,4
X192307002558899_X_.N,2
X192315278387124_X_.N,1
X192315305089758_X_.N,13
X192315305442526_X_.N,7
X192315305675549_X_.N,3
X192315305715435_X_.N,8
X192315323771115_X_.N,3
X192317693512628_X_.N,3
X192317693572893_X_.N,3
X192317694273819_X_.N,1
X192317721004269_X_.N,3
X192317739625268_X_.N,4
X192317740209972_X_.N,2
X192317740234534_X_.N,0
X192317740497142_X_.N,7
X192325880834396_X_.N,1
X192325908543325_X_.N,1
X192325926894893_X_.N,2
X192325927451438_X_.N,0
X192325927790814_X_.N,2
X192653640456099_X_.N,0
X192653640780061_X_.N,6
X192653641244067_X_.N,8
X192653641272245_X_.N,0
X192653655169259_X_.N,0
X192653655693100_X_.N,2
X192653655730078_X_.N,11
X192653668534645_X_.N,0
X192653668600558_X_.N,4
X192653686925164_X_.N,0
X192653687147430_X_.N,6
X192653687179691_X_.N,3
X192653687219996_X_.N,4
X192653687417067_X_.N,0
X192678068403635_X_.N,15
X192678082824622_X_.N,4
X192678083116396_X_.N,3
X192678083586411_X_.N,2
X192678095449445_X_.N,1
X192678095707446_X_.N,0
X192678114281820_X_.N,1
X192678114769710_X_.N,4
X192678115076900_X_.N,2
X192678115108638_X_.N,0
X192718870362476_X_.N,2
X192718870371549_X_.N,2
X192718870604598_X_.N,6
X192718870824884_X_.N,2
X192718871128996_X_.N,1
X192718885272364_X_.N,2
X192718885468595_X_.N,12
X192718885570860_X_.N,0
X192718897593189_X_.N,1
X192718898055597_X_.N,6
X192718916414702_X_.N,0
X192718916730142_X_.N,1
X192729608052075_X_.N,0
X192729608285084_X_.N,12
X192729622441243_X_.N,0
X192729635018461_X_.N,2
X192729635252958_X_.N,0
X192729635285750_X_.N,1
X192729635535269_X_.N,7
X192729635736299_X_.N,1
X192729635741093_X_.N,6
X192729653889459_X_.N,2
X192729654159205_X_.N,3
X192729654352683_X_.N,1
X192745848814430_X_.N,4
X192745848878963_X_.N,4
X192745862973300_X_.N,0
X192745894165430_X_.N,6
X192745894275947_X_.N,3
X192747056256814_X_.N,3
X192747056577964_X_.N,3
X192747070970078_X_.N,1
X192747070970803_X_.N,4
X192747071031526_X_.N,4
X192747071268766_X_.N,3
X192747083361011_X_.N,3
X192747083614556_X_.N,15
X192747084073374_X_.N,6
X192788797799325_X_.N,3
X192788812385716_X_.N,0
X192788812740907_X_.N,6
X192788813270387_X_.N,13
X192788825500573_X_.N,3
X192788825818859_X_.N,2
X192788844108061_X_.N,2
X192788844141859_X_.N,1
X192788844664750_X_.N,1
X192806917158757_X_.N,2
X192806917401462_X_.N,4
X192806917466478_X_.N,15
X192806931787060_X_.N,3
X192806932564388_X_.N,0
X192806932565404_X_.N,0
X192806944421613_X_.N,2
X192806945155318_X_.N,4
X192859679438708_X_.N,8
X192859679705389_X_.N,3
X192859680196973_X_.N,6
X192859692779941_X_.N,1
X192859710868396_X_.N,2
X192859711323571_X_.N,2
X192859711686492_X_.N,3
X195426042202854_X_.N,3
X195426069146419_X_.N,2
X195426069203686_X_.N,8
X195426069924195_X_.N,3
X195546167032235_X_.N,2
X195546167495534_X_.N,2
X195546181450142_X_.N,1
X195546181978013_X_.N,4
X195546182274461_X_.N,3
X195546194331486_X_.N,3
X195546194828574_X_.N,7
X195546213150115_X_.N,2
X195547374938909_X_.N,3
X195547389348268_X_.N,7
X195547389421870_X_.N,1
X195547389443438_X_.N,12
X195547389970269_X_.N,11
X195547390135708_X_.N,3
X195547402292021_X_.N,0
X195547421660965_X_.N,0
X195562272831910_X_.N,2
X195562273453918_X_.N,13
X195562318982382_X_.N,4
X195562319858396_X_.N,1
X195606430760179_X_.N,6
X195606431001901_X_.N,2
X195606431099171_X_.N,4
X195606445410155_X_.N,2
X195606446033637_X_.N,0
X195606458521821_X_.N,7
X195606458522915_X_.N,1
X195606477138670_X_.N,6
X195615826045347_X_.N,0
X195615826532125_X_.N,6
X195615840685486_X_.N,4
X195615840954739_X_.N,6
X195615841021149_X_.N,0
X195615871855861_X_.N,4
X195615871949662_X_.N,3
X195615872400235_X_.N,0
X195615872437596_X_.N,0
X195622417066926_X_.N,8
X195622417360813_X_.N,15
X195622417583347_X_.N,7
X195622417620315_X_.N,2
X195622417622891_X_.N,8
X195622430165228_X_.N,2
X195622430522589_X_.N,1
X195622448580532_X_.N,0
X195622448614694_X_.N,4
X195622449068907_X_.N,2
X195622449330995_X_.N,6
X195623342422963_X_.N,7
X195623356585899_X_.N,2
X195623369534365_X_.N,0
X195623370025819_X_.N,3
X195623388572060_X_.N,2
X195623388829413_X_.N,0
X195625758189797_X_.N,2
X195625758608166_X_.N,8
X195625772576044_X_.N,2
X195625772767068_X_.N,13
X195625773320094_X_.N,13
X195625804773292_X_.N,3
X195625804787046_X_.N,2
X195958617855773_X_.N,4
X195958618609451_X_.N,6
X195958632540908_X_.N,2
X195958632797996_X_.N,3
X195958645385964_X_.N,1
X195958645578654_X_.N,7
X195958645615909_X_.N,2
X195958663989172_X_.N,2
X195958664443701_X_.N,11
X195958664456987_X_.N,0
X195967074024371_X_.N,3
X195967074326301_X_.N,7
X195967088979166_X_.N,1
X195967101619438_X_.N,4
X195967119648486_X_.N,3
X195967119681907_X_.N,7
X195967120227573_X_.N,4
X195967120463790_X_.N,2
X196019686926684_X_.N,3
X196019687213366_X_.N,0
X196019701794667_X_.N,7
X196019702061283_X_.N,2
X196019714451747_X_.N,0
X196019714931637_X_.N,0
X196019714967275_X_.N,4
X196019733804787_X_.N,6
X196043577637613_X_.N,1
X196043577715948_X_.N,2
X196043578207067_X_.N,6
X196043578456430_X_.N,6
X196043592657763_X_.N,0
X196043592817499_X_.N,8
X196043604973854_X_.N,6
X196043624036214_X_.N,2
X196043624311716_X_.N,1
X196043624311731_X_.N,8
X196043624602854_X_.N,4
X196113236875190_X_.N,4
X196113236965171_X_.N,4
X196113237207971_X_.N,6
X196113251912436_X_.N,6
X196113263913316_X_.N,2
X196163864024940_X_.N,2
X196163864025451_X_.N,3
X196163864545580_X_.N,3
X196163864553396_X_.N,7
X196163864803164_X_.N,6
X196163882904885_X_.N,4
X196174306031523_X_.N,4
X196174306557227_X_.N,3
X196174320425758_X_.N,13
X196174320621925_X_.N,6
X196174320977771_X_.N,2
X196174333729580_X_.N,13
X196174351919979_X_.N,0
X196174352366827_X_.N,4
X196180748156341_X_.N,0
X196180748159924_X_.N,0
X196180748191475_X_.N,2
X196180748744542_X_.N,7
X196180748748654_X_.N,4
X196180748983019_X_.N,6
X196180763102627_X_.N,4
X196180763130293_X_.N,1
X196180763135196_X_.N,8
X196180763428715_X_.N,0
X196180775422301_X_.N,8
X196180775684852_X_.N,3
X196180776216877_X_.N,2
X196180794358620_X_.N,1
X196180794882269_X_.N,4
X196527700952989_X_.N,12
X196527700954524_X_.N,0
X196527701244205_X_.N,2
X196527701252342_X_.N,7
X196527701256614_X_.N,3
X196527701773732_X_.N,0
X196527715994412_X_.N,3
X196527716223405_X_.N,4
X196527728249638_X_.N,8
X196527747389348_X_.N,4
X196527747421918_X_.N,2
X196638162676141_X_.N,4
X196638176925491_X_.N,2
X196638177384349_X_.N,0
X196638189411190_X_.N,0
X196638189704950_X_.N,0
X196715471551902_X_.N,2
X196715471619893_X_.N,11
X196715472369564_X_.N,6
X196715472444189_X_.N,2
X196715486297332_X_.N,2
X196715486337252_X_.N,2
X196715487021940_X_.N,1
X196715499440556_X_.N,7
X196715499612406_X_.N,3
X196715517693339_X_.N,3
X196715517799731_X_.N,1
X196715518578085_X_.N,2
X197058264160675_X_.N,1
X197058264223013_X_.N,0
X197058264480164_X_.N,1
X197058278583715_X_.N,3
X197058279198109_X_.N,7
X197058309810075_X_.N,1
X197060142947622_X_.N,8
X197060142976293_X_.N,2
X197060157397742_X_.N,2
X197060157401884_X_.N,7
X197060188858739_X_.N,8
X197060189416220_X_.N,3
X197068867098414_X_.N,4
X197068867463396_X_.N,2
X197068881516892_X_.N,0
X197068881804011_X_.N,6
X197068882077547_X_.N,2
X197068894366046_X_.N,0
X197068913272670_X_.N,2
X197135438900525_X_.N,7
X197135439121835_X_.N,0
X197135439153437_X_.N,4
X197135439194027_X_.N,0
X197135453535588_X_.N,3
X197135454026163_X_.N,4
X197135454394283_X_.N,2
X197135466387813_X_.N,0
X197135466620771_X_.N,3
X197135466912107_X_.N,0
X197135485286685_X_.N,7
X197135485298540_X_.N,2
X197145237024029_X_.N,8
X197145252248869_X_.N,3
X197145264766245_X_.N,0
X197145283376949_X_.N,7
X197145283475238_X_.N,3
X197185771072347_X_.N,3
X197185771333875_X_.N,0
X197185785682356_X_.N,0
X197185785940723_X_.N,4
X197185798334388_X_.N,8
X197185798520053_X_.N,6
X197185798560028_X_.N,2
X197185816935654_X_.N,3
X197185816939253_X_.N,2
X197185816948062_X_.N,1
X197188186691883_X_.N,8
X197188186725669_X_.N,4
X197188187253038_X_.N,2
X197188201135348_X_.N,3
X197188201396510_X_.N,1
X197188201602277_X_.N,2
X197188214208811_X_.N,6
X197188214447467_X_.N,0
X197188214504307_X_.N,1
X197188232531302_X_.N,7
X197188232567580_X_.N,0
X197206037642549_X_.N,0
X197206038211291_X_.N,6
X197206052133213_X_.N,0
X197206052558699_X_.N,0
X197206052910947_X_.N,3
X197206064717158_X_.N,12
X197206065207069_X_.N,8
X197206065400621_X_.N,0
X197206084019958_X_.N,2
X197206084107165_X_.N,0
X197213554424118_X_.N,3
X197213568263918_X_.N,0
X197213580867309_X_.N,0
X197213581076830_X_.N,2
X197213581134574_X_.N,9
X197213581141941_X_.N,1
X197213599742302_X_.N,4
X197256771947942_X_.N,0
X197256786331997_X_.N,2
X197256798919069_X_.N,6
X197256798923678_X_.N,1
X197256799696803_X_.N,7
X197256799702430_X_.N,4
X197256799739107_X_.N,2
X197256799742253_X_.N,4
X197256817850214_X_.N,4
X197256817858349_X_.N,2
X197256818087844_X_.N,2
X197256818116965_X_.N,3
X197256818125726_X_.N,7
X197256818313645_X_.N,2
X197256818378668_X_.N,3
X197264019471605_X_.N,2
X197264019998572_X_.N,2
X197264034917747_X_.N,8
X197264047032244_X_.N,8
X197264047459117_X_.N,0
X197264047491427_X_.N,12
X199865964615460_X_.N,7
X199865964809582_X_.N,6
X199865964850478_X_.N,3
X199865979034398_X_.N,8
X199865979066717_X_.N,3
X199865979549622_X_.N,7
X199865991555998_X_.N,2
X199865992112035_X_.N,2
X199865992166622_X_.N,3
X199866010429158_X_.N,1
X199934549645660_X_.N,6
X199934549646622_X_.N,2
X199934550165811_X_.N,0
X199934550424875_X_.N,1
X199934564579683_X_.N,0
X199934565108453_X_.N,0
X199934577429724_X_.N,3
X199934577621405_X_.N,3
X199934595685094_X_.N,2
X199934595689710_X_.N,2
X199934595946277_X_.N,7
X199934595979550_X_.N,0
X199934596266931_X_.N,2
X199934596298669_X_.N,7
X199934596533084_X_.N,1
X199934596562267_X_.N,2
X199944362219229_X_.N,3
X199944362487094_X_.N,0
X199944362677998_X_.N,0
X199944363002597_X_.N,3
X199944374730037_X_.N,2
X199944375220061_X_.N,2
X199944375228844_X_.N,0
X199944375229147_X_.N,0
X199944375323868_X_.N,4
X199944375324070_X_.N,3
X199944375524579_X_.N,0
X199944393603997_X_.N,3
X199944393635686_X_.N,2
X199944394390323_X_.N,8
X199962332621612_X_.N,2
X199962332642716_X_.N,7
X199962333394861_X_.N,0
X199962347554613_X_.N,0
X199962347625244_X_.N,1
X199962347628827_X_.N,13
X199962378816428_X_.N,3
X199962379008925_X_.N,7
X199962379369373_X_.N,0
X199962379565875_X_.N,0
X200348208655772_X_.N,8
X200348208904619_X_.N,2
X200348208946460_X_.N,2
X200348223270196_X_.N,6
X200348236179236_X_.N,6
X200348236180382_X_.N,2
X200348254788404_X_.N,2
X200348255313180_X_.N,2
X200348255570292_X_.N,1
X200348255604133_X_.N,6
X200363912617396_X_.N,4
X200363912903076_X_.N,4
X200363926743838_X_.N,0
X200363926776748_X_.N,3
X200363927300532_X_.N,6
X200363939416950_X_.N,1
X200363958255006_X_.N,2
X200363958529307_X_.N,6
X200363958779302_X_.N,4
X200363959008676_X_.N,1
X200416659684597_X_.N,2
X200416659921819_X_.N,3
X200416660183412_X_.N,4
X200416674363821_X_.N,2
X200416674569637_X_.N,2
X200416675195163_X_.N,15
X200416686992115_X_.N,3
X200416687242613_X_.N,4
X200416687478692_X_.N,2
X200416705795877_X_.N,7
X200426591992054_X_.N,3
X200426592356726_X_.N,0
X200426607012075_X_.N,0
X200426607032683_X_.N,0
X200426619524982_X_.N,7
X200426637937580_X_.N,0
X200426638206821_X_.N,6
X200441221539566_X_.N,0
X200441221757229_X_.N,3
X200441222351196_X_.N,1
X200441236933492_X_.N,3
X200441248991469_X_.N,6
X200441249021278_X_.N,6
X200441249352924_X_.N,2
X200441249516333_X_.N,8
X200441249586462_X_.N,3
X200441267702516_X_.N,7
X200511149009261_X_.N,0
X200511149533556_X_.N,3
X200511149762395_X_.N,8
X200511164136820_X_.N,1
X200511176726374_X_.N,1
X200511195338613_X_.N,0
X200561495755700_X_.N,0
X200561495797044_X_.N,2
X200561495828715_X_.N,1
X200561507814244_X_.N,2
X200561508435868_X_.N,7
X200562822830316_X_.N,1
X200562823358692_X_.N,1
X200562838198004_X_.N,13
X200562838223732_X_.N,1
X200562838292398_X_.N,2
X200562850253037_X_.N,2
X200562868926390_X_.N,4
X200562869201822_X_.N,2
X200562869724894_X_.N,1
X200563762522909_X_.N,2
X200563777232308_X_.N,3
X200563777558324_X_.N,7
X200563777812323_X_.N,1
X200563790302622_X_.N,3
X200563808693478_X_.N,9
X200570473737051_X_.N,4
X200570519894899_X_.N,0
X200899053442868_X_.N,2
X200899065732332_X_.N,4
X200899084380468_X_.N,1
X200899084900660_X_.N,3
X200922526234974_X_.N,3
X200922526309300_X_.N,0
X200922526828828_X_.N,1
X200922527086451_X_.N,2
X200922527095531_X_.N,4
X200922541177270_X_.N,4
X200922541714675_X_.N,3
X200922541767005_X_.N,0
X200922541767414_X_.N,6
X200922553505502_X_.N,0
X200922553793886_X_.N,3
X200922572712862_X_.N,0
X200922572732262_X_.N,3
X200922573232357_X_.N,0
X200967489538934_X_.N,3
X200967504653733_X_.N,6
X200967516506973_X_.N,6
X200967516772774_X_.N,8
X200967536105308_X_.N,6
X200967536167221_X_.N,9
X200974065940253_X_.N,2
X200974065953133_X_.N,2
X200974080555828_X_.N,3
X200974080788277_X_.N,3
X200974093470430_X_.N,2
X200974093638558_X_.N,2
X200974111988083_X_.N,2
X200974112537460_X_.N,7
X200983461649125_X_.N,2
X200983476652773_X_.N,8
X200983488915747_X_.N,3
X200983507229414_X_.N,0
X200983507324198_X_.N,3
X200983507744565_X_.N,6
X200983507811678_X_.N,3
X200994198572446_X_.N,4
X200994213804404_X_.N,1
X200994225867638_X_.N,4
X200994225871731_X_.N,13
X200994226105589_X_.N,2
X200994244909341_X_.N,2
X200994245262195_X_.N,0
X201111639091940_X_.N,3
X201111653731046_X_.N,3
X201111653759405_X_.N,0
X201111653764380_X_.N,2
X201111654260059_X_.N,2
X201111666379494_X_.N,2
X201111685224355_X_.N,0
X201111685457758_X_.N,3
X201111685491499_X_.N,2
X201111685512092_X_.N,4
X201111685774237_X_.N,9
X201111685937461_X_.N,0
X201114457696028_X_.N,1
X201114457893750_X_.N,6
X201114485648691_X_.N,2
X201114504083302_X_.N,3
X201465571469748_X_.N,4
X201465571522355_X_.N,15
X201465571753388_X_.N,2
X201465571952989_X_.N,2
X201465586400171_X_.N,6
X201465586670324_X_.N,8
X201465598459243_X_.N,3
X201465598723893_X_.N,1
X201465617574692_X_.N,4
X201465617639276_X_.N,4
X201465618119899_X_.N,6
X201465618152750_X_.N,2
X201474295322333_X_.N,2
X201474295384811_X_.N,11
X201474295851437_X_.N,4
X201474310367021_X_.N,4
X201474310588317_X_.N,3
X201474310782325_X_.N,0
X201474341727012_X_.N,0
X201474341788070_X_.N,4
X201523553299316_X_.N,0
X201523554011884_X_.N,0
X201523567946468_X_.N,6
X201523568207708_X_.N,2
X201523568753446_X_.N,6
X201523581016355_X_.N,3
X201523581306678_X_.N,2
X201523581315373_X_.N,6
X201523581376862_X_.N,7
X201523599361950_X_.N,0
X201523599927659_X_.N,2
X201523600148379_X_.N,2
X201585845189046_X_.N,11
X201585845463907_X_.N,2
X201585857547118_X_.N,0
X201585876449126_X_.N,2
X201585876655523_X_.N,3
X201585876920054_X_.N,3
X201595540158701_X_.N,2
X201595540588445_X_.N,6
X201595540626852_X_.N,4
X201670655949557_X_.N,3
X201670656485604_X_.N,2
X201670670870379_X_.N,2
X201670683946405_X_.N,1
X201670702323422_X_.N,0
X201670702816043_X_.N,6
X204213411231533_X_.N,2
X204213411342171_X_.N,2
X204213411572014_X_.N,2
X204213411593011_X_.N,0
X204213425916852_X_.N,0
X204213425989534_X_.N,4
X204213438791022_X_.N,2
X204213456910262_X_.N,1
X204213457149219_X_.N,1
X204213457414435_X_.N,3
X204213457669355_X_.N,6
X204224148135195_X_.N,1
X204224148236060_X_.N,3
X204224148650405_X_.N,0
X204224148949405_X_.N,0
X204224163076453_X_.N,3
X204224163364212_X_.N,2
X204224175754670_X_.N,6
X204224175926173_X_.N,4
X204224176187107_X_.N,3
X204224195152667_X_.N,2
X204351789185374_X_.N,6
X204351789549878_X_.N,2
X204351790041445_X_.N,1
X204351803865452_X_.N,8
X204351816813998_X_.N,4
X204351816972139_X_.N,2
X204351816976620_X_.N,7
X204351817246966_X_.N,0
X204351835401644_X_.N,6
X204351835663782_X_.N,0
X204351835920605_X_.N,1
X204358231674078_X_.N,6
X204358231702755_X_.N,6
X204358231714140_X_.N,3
X204358232165742_X_.N,6
X204358232230197_X_.N,0
X204358232501156_X_.N,6
X204358246316971_X_.N,0
X204358246873956_X_.N,0
X204358247110884_X_.N,6
X204358258904307_X_.N,7
X204358259764059_X_.N,7
X204358278667493_X_.N,2
X204359574183196_X_.N,3
X204359589095326_X_.N,2
X204359589353716_X_.N,1
X204359589382885_X_.N,13
X204359601085725_X_.N,3
X204359601110325_X_.N,2
X204359601445302_X_.N,3
X204359601962205_X_.N,0
X204359601965806_X_.N,0
X204360528291699_X_.N,0
X204360528324444_X_.N,7
X204360528550747_X_.N,0
X204360528578278_X_.N,0
X204360540941557_X_.N,0
X204360541125987_X_.N,0
X204360541138163_X_.N,4
X204360541486499_X_.N,6
X204360559577014_X_.N,3
X204360559586155_X_.N,13
X204360560044958_X_.N,0
X204403329067230_X_.N,8
X204403329583910_X_.N,1
X204403329657692_X_.N,3
X204403343800739_X_.N,2
X204403344365483_X_.N,0
X204403375271195_X_.N,3
X204403375463267_X_.N,0
X204403375820197_X_.N,4
X204427085340075_X_.N,7
X204427085670254_X_.N,2
X204427100338462_X_.N,2
X204427112607030_X_.N,3
X204427113418014_X_.N,7
X204427131501356_X_.N,3
X204756739344813_X_.N,6
X204756751903667_X_.N,8
X204756752124214_X_.N,1
X204756752222051_X_.N,0
X204756770314670_X_.N,3
X204756771006830_X_.N,2
X204762093046061_X_.N,7
X204762093108659_X_.N,2
X204762107465069_X_.N,0
X204762107795171_X_.N,0
X204762120833780_X_.N,7
X204762120907556_X_.N,0
X204762138925427_X_.N,4
X204762138986931_X_.N,3
X204763032664286_X_.N,1
X204763032832869_X_.N,2
X204763032873828_X_.N,7
X204763047258987_X_.N,3
X204763047574251_X_.N,7
X204763060095212_X_.N,2
X204765448230621_X_.N,2
X204765449087707_X_.N,0
X204765476043507_X_.N,0
X204765476051868_X_.N,11
X204765494916979_X_.N,1
X204816853616541_X_.N,1
X204816853986548_X_.N,6
X204816868600094_X_.N,3
X204816868620574_X_.N,6
X204816868625310_X_.N,2
X204816869088549_X_.N,1
X204816880982302_X_.N,6
X204816881245422_X_.N,4
X204816881409374_X_.N,0
X204816900021045_X_.N,2
X204816900640093_X_.N,4
X204825309633948_X_.N,7
X204825324374317_X_.N,2
X204825324632436_X_.N,3
X204825356033444_X_.N,2
X204825356069660_X_.N,8
X204882351864173_X_.N,7
X204882351941470_X_.N,3
X204882352232683_X_.N,2
X204882352728795_X_.N,0
X204882366578020_X_.N,0
X204882367077670_X_.N,0
X204882367102324_X_.N,2
X204882367134443_X_.N,3
X204882379491676_X_.N,13
X204882379684139_X_.N,2
X204882379922220_X_.N,2
X204882379922853_X_.N,0
X204882379954028_X_.N,3
X204882398267764_X_.N,0
X204882398625196_X_.N,6
X204911358106853_X_.N,5
X204911370983787_X_.N,5
X204911389371109_X_.N,0
X204911389821278_X_.N,2
X204911389886748_X_.N,7
X204954158393118_X_.N,6
X204954158447349_X_.N,2
X204954158652315_X_.N,1
X204954158656374_X_.N,6
X204954173139683_X_.N,1
X204954173139806_X_.N,8
X204954185915701_X_.N,0
X204954186172660_X_.N,1
X204954186505452_X_.N,3
X204954204756764_X_.N,11
X204954205042547_X_.N,3
X204959661606693_X_.N,0
X204959662102829_X_.N,0
X204959676024749_X_.N,1
X204959676057459_X_.N,6
X204959676787635_X_.N,2
X204959688649459_X_.N,6
X204959688879349_X_.N,4
X204959689329396_X_.N,2
X204959689431350_X_.N,2
X204959708269355_X_.N,2
X205381642075052_X_.N,4
X205381656557294_X_.N,6
X205381656824734_X_.N,3
X205381669120756_X_.N,4
X205381669145310_X_.N,3
X205381669342044_X_.N,6
X205381669411238_X_.N,3
X205381688026990_X_.N,4
X205381688224100_X_.N,8
X205381688542957_X_.N,1
X205392379763107_X_.N,2
X205392379856750_X_.N,4
X205392380061620_X_.N,3
X205392394282717_X_.N,1
X205392406760284_X_.N,7
X205392406853422_X_.N,0
X205449153367262_X_.N,3
X205449153398515_X_.N,1
X205449154149278_X_.N,0
X205449168633115_X_.N,3
X205449168644899_X_.N,0
X205449168833899_X_.N,3
X205449180699558_X_.N,1
X205449181384094_X_.N,0
X205449199572909_X_.N,2
X205449199802099_X_.N,7
X205449199807910_X_.N,6
X205449200036131_X_.N,3
X205449200323829_X_.N,2
X205449200363757_X_.N,2
X205510759606507_X_.N,0
X205510805674269_X_.N,2
X205510805698981_X_.N,4
X205510806228315_X_.N,1
X205510806231262_X_.N,2
X205511431239540_X_.N,4
X205511445368164_X_.N,0
X205511445395876_X_.N,1
X205511458418076_X_.N,0
X205511477030110_X_.N,7
X205511477054374_X_.N,1
X205511477357348_X_.N,6
X205518946590004_X_.N,3
X205518946912566_X_.N,3
X205518947347363_X_.N,2
X205518947404011_X_.N,6
X205518961293741_X_.N,6
X205518961797556_X_.N,13
X205518973913974_X_.N,10
X205518974077788_X_.N,3
X205518974184236_X_.N,1
X205518974368043_X_.N,1
X205518992758684_X_.N,2
X205518993504046_X_.N,2
