gene,sample_id,count
GENE_0155,S07,90
GENE_0196,S07,32
GENE_0302,S07,14
GENE_0254,S07,10
GENE_0461,S07,7
GENE_0454,S07,94
GENE_0237,S07,21
GENE_0383,S07,21
GENE_0206,S07,39
GENE_0355,S07,19
GENE_0320,S07,12
GENE_0183,S07,9
GENE_0188,S07,9
GENE_0230,S07,12
GENE_0378,S07,24
GENE_0406,S07,13
GENE_0213,S07,20
GENE_0008,S07,10
GENE_0293,S07,11
GENE_0496,S07,1
GENE_0348,S07,35
GENE_0104,S07,28
GENE_0313,S07,23
GENE_0081,S07,2
GENE_0289,S07,93
GENE_0212,S07,14
GENE_0476,S07,35
GENE_0359,S07,4
GENE_0068,S07,26
GENE_0399,S07,8
GENE_0216,S07,6
GENE_0305,S07,87
GENE_0048,S07,12
GENE_0366,S07,8
GENE_0112,S07,23
GENE_0133,S07,18
GENE_0005,S07,15
GENE_0169,S07,26
GENE_0495,S07,128
GENE_0200,S07,13
GENE_0445,S07,14
GENE_0248,S07,28
GENE_0264,S07,34
GENE_0351,S07,18
GENE_0137,S07,13
GENE_0274,S07,3
GENE_0120,S07,38
GENE_0152,S07,7
GENE_0250,S07,17
GENE_0326,S07,6
GENE_0386,S07,14
GENE_0052,S07,19
GENE_0398,S07,8
GENE_0365,S07,24
GENE_0281,S07,64
GENE_0440,S07,28
GENE_0202,S07,5
GENE_0134,S07,33
GENE_0027,S07,47
GENE_0460,S07,3
GENE_0247,S07,13
GENE_0231,S07,10
GENE_0061,S07,10
GENE_0286,S07,48
GENE_0162,S07,28
GENE_0270,S07,5
GENE_0157,S07,11
GENE_0315,S07,10
GENE_0062,S07,3
GENE_0244,S07,3
GENE_0123,S07,52
GENE_0470,S07,6
GENE_0462,S07,5
GENE_0284,S07,0
GENE_0025,S07,7
GENE_0221,S07,4
GENE_0189,S07,67
GENE_0334,S07,54
GENE_0000,S07,6
GENE_0259,S07,115
GENE_0117,S07,53
GENE_0480,S07,11
GENE_0010,S07,1
GENE_0099,S07,138
GENE_0449,S07,3
GENE_0149,S07,2
GENE_0165,S07,46
GENE_0262,S07,110
GENE_0407,S07,52
GENE_0388,S07,25
GENE_0443,S07,21
GENE_0127,S07,40
GENE_0055,S07,16
GENE_0363,S07,16
GENE_0455,S07,10
GENE_0145,S07,10
GENE_0346,S07,2
GENE_0436,S07,5
GENE_0168,S07,2
GENE_0288,S07,10
GENE_0252,S07,9
GENE_0142,S07,7
GENE_0089,S07,8
GENE_0051,S07,52
GENE_0413,S07,34
GENE_0177,S07,6
GENE_0240,S07,8
GENE_0478,S07,35
GENE_0186,S07,3
GENE_0088,S07,41
GENE_0439,S07,52
GENE_0344,S07,2
GENE_0007,S07,9
GENE_0411,S07,2
GENE_0105,S07,5
GENE_0429,S07,21
GENE_0256,S07,2
GENE_0394,S07,6
GENE_0140,S07,18
GENE_0203,S07,22
GENE_0098,S07,10
GENE_0376,S07,137
GENE_0064,S07,24
GENE_0497,S07,4
GENE_0481,S07,10
GENE_0498,S07,23
GENE_0215,S07,15
GENE_0431,S07,8
GENE_0017,S07,3
GENE_0491,S07,3
GENE_0235,S07,8
GENE_0368,S07,25
GENE_0173,S07,4
GENE_0009,S07,3
GENE_0311,S07,5
GENE_0412,S07,29
GENE_0257,S07,19
GENE_0006,S07,47
GENE_0357,S07,7
GENE_0094,S07,16
GENE_0199,S07,9
GENE_0156,S07,55
GENE_0396,S07,3
GENE_0014,S07,16
GENE_0392,S07,45
GENE_0263,S07,5
GENE_0325,S07,6
GENE_0056,S07,6
GENE_0139,S07,32
GENE_0330,S07,7
GENE_0131,S07,15
GENE_0451,S07,149
GENE_0332,S07,11
GENE_0083,S07,1
GENE_0494,S07,15
GENE_0425,S07,157
GENE_0041,S07,7
GENE_0220,S07,88
GENE_0211,S07,58
GENE_0176,S07,12
GENE_0418,S07,9
GENE_0345,S07,62
GENE_0193,S07,9
GENE_0472,S07,7
GENE_0393,S07,15
GENE_0106,S07,2
GENE_0121,S07,5
GENE_0050,S07,4
GENE_0024,S07,16
GENE_0073,S07,5
GENE_0266,S07,12
GENE_0184,S07,3
GENE_0124,S07,28
GENE_0016,S07,21
GENE_0214,S07,0
GENE_0379,S07,18
GENE_0082,S07,22
GENE_0002,S07,3
GENE_0369,S07,37
GENE_0047,S07,19
GENE_0338,S07,6
GENE_0243,S07,7
GENE_0180,S07,20
GENE_0422,S07,5
GENE_0223,S07,13
GENE_0197,S07,15
GENE_0342,S07,8
GENE_0013,S07,3
GENE_0434,S07,14
GENE_0273,S07,6
GENE_0227,S07,4
GENE_0078,S07,53
GENE_0362,S07,35
GENE_0380,S07,25
GENE_0271,S07,3
GENE_0115,S07,10
GENE_0441,S07,32
GENE_0459,S07,13
GENE_0077,S07,182
GENE_0011,S07,19
GENE_0063,S07,4
GENE_0493,S07,7
GENE_0226,S07,17
GENE_0060,S07,12
GENE_0181,S07,24
GENE_0261,S07,72
GENE_0040,S07,8
GENE_0294,S07,1
GENE_0092,S07,4
GENE_0410,S07,25
GENE_0485,S07,7
GENE_0255,S07,2
GENE_0192,S07,16
GENE_0377,S07,204
GENE_0042,S07,12
GENE_0486,S07,29
GENE_0290,S07,12
GENE_0421,S07,21
GENE_0295,S07,50
GENE_0154,S07,7
GENE_0072,S07,10
GENE_0438,S07,10
GENE_0287,S07,10
GENE_0384,S07,31
GENE_0414,S07,16
GENE_0195,S07,6
GENE_0103,S07,23
GENE_0185,S07,7
GENE_0171,S07,9
GENE_0364,S07,14
GENE_0458,S07,39
GENE_0479,S07,11
GENE_0352,S07,7
GENE_0303,S07,36
GENE_0034,S07,56
GENE_0150,S07,17
GENE_0015,S07,13
GENE_0035,S07,6
GENE_0339,S07,9
GENE_0182,S07,14
GENE_0175,S07,4
GENE_0467,S07,15
GENE_0314,S07,13
GENE_0132,S07,20
GENE_0107,S07,13
GENE_0019,S07,9
GENE_0403,S07,17
GENE_0484,S07,1
GENE_0483,S07,6
GENE_0219,S07,7
GENE_0471,S07,5
GENE_0057,S07,25
GENE_0170,S07,46
GENE_0218,S07,45
GENE_0430,S07,10
GENE_0065,S07,56
GENE_0337,S07,10
GENE_0301,S07,8
GENE_0336,S07,10
GENE_0277,S07,10
GENE_0191,S07,9
GENE_0003,S07,12
GENE_0474,S07,23
GENE_0084,S07,15
GENE_0085,S07,15
GENE_0190,S07,27
GENE_0194,S07,30
GENE_0432,S07,7
GENE_0167,S07,0
GENE_0108,S07,34
GENE_0080,S07,8
GENE_0267,S07,7
GENE_0102,S07,6
GENE_0225,S07,0
GENE_0444,S07,17
GENE_0116,S07,28
GENE_0296,S07,10
GENE_0323,S07,0
GENE_0143,S07,3
GENE_0489,S07,14
GENE_0307,S07,2
GENE_0031,S07,20
GENE_0285,S07,9
GENE_0419,S07,20
GENE_0487,S07,11
GENE_0395,S07,1
GENE_0053,S07,40
GENE_0234,S07,14
GENE_0097,S07,13
GENE_0222,S07,6
GENE_0464,S07,7
GENE_0387,S07,2
GENE_0374,S07,4
GENE_0158,S07,71
GENE_0118,S07,4
GENE_0268,S07,5
GENE_0275,S07,63
GENE_0067,S07,6
GENE_0358,S07,4
GENE_0260,S07,34
GENE_0026,S07,5
GENE_0381,S07,92
GENE_0095,S07,10
GENE_0456,S07,8
GENE_0463,S07,87
GENE_0468,S07,5
GENE_0448,S07,26
GENE_0401,S07,15
GENE_0242,S07,38
GENE_0114,S07,63
GENE_0331,S07,15
GENE_0469,S07,1
GENE_0324,S07,20
GENE_0045,S07,4
GENE_0074,S07,65
GENE_0354,S07,17
GENE_0397,S07,10
GENE_0328,S07,13
GENE_0136,S07,4
GENE_0224,S07,4
GENE_0391,S07,18
GENE_0076,S07,3
GENE_0361,S07,13
GENE_0405,S07,28
GENE_0329,S07,51
GENE_0428,S07,29
GENE_0280,S07,28
GENE_0402,S07,3
GENE_0246,S07,4
GENE_0327,S07,48
GENE_0087,S07,5
GENE_0229,S07,7
GENE_0258,S07,31
GENE_0187,S07,27
GENE_0141,S07,21
GENE_0488,S07,108
GENE_0450,S07,6
GENE_0020,S07,101
GENE_0426,S07,5
GENE_0251,S07,12
GENE_0238,S07,64
GENE_0023,S07,20
GENE_0371,S07,39
GENE_0299,S07,28
GENE_0300,S07,9
GENE_0036,S07,0
GENE_0499,S07,4
GENE_0283,S07,4
GENE_0382,S07,92
GENE_0179,S07,5
GENE_0113,S07,7
GENE_0482,S07,26
GENE_0446,S07,14
GENE_0178,S07,25
GENE_0375,S07,22
GENE_0069,S07,6
GENE_0404,S07,6
GENE_0163,S07,22
GENE_0442,S07,7
GENE_0409,S07,96
GENE_0046,S07,31
GENE_0465,S07,23
GENE_0161,S07,27
GENE_0291,S07,25
GENE_0424,S07,22
GENE_0128,S07,2
GENE_0408,S07,6
GENE_0135,S07,9
GENE_0236,S07,6
GENE_0043,S07,31
GENE_0174,S07,40
GENE_0138,S07,24
GENE_0166,S07,46
GENE_0400,S07,74
GENE_0415,S07,19
GENE_0272,S07,153
GENE_0204,S07,35
GENE_0210,S07,3
GENE_0353,S07,22
GENE_0312,S07,21
GENE_0198,S07,40
GENE_0096,S07,12
GENE_0093,S07,9
GENE_0101,S07,0
GENE_0269,S07,7
GENE_0447,S07,16
GENE_0059,S07,7
GENE_0297,S07,26
GENE_0153,S07,104
GENE_0490,S07,14
GENE_0433,S07,5
GENE_0109,S07,11
GENE_0110,S07,50
GENE_0340,S07,6
GENE_0039,S07,8
GENE_0147,S07,3
GENE_0466,S07,7
GENE_0151,S07,30
GENE_0292,S07,8
GENE_0416,S07,20
GENE_0435,S07,6
GENE_0308,S07,9
GENE_0159,S07,22
GENE_0253,S07,8
GENE_0341,S07,47
GENE_0457,S07,8
GENE_0333,S07,23
GENE_0316,S07,25
GENE_0028,S07,5
GENE_0319,S07,3
GENE_0278,S07,2
GENE_0370,S07,63
GENE_0217,S07,10
GENE_0091,S07,135
GENE_0086,S07,4
GENE_0343,S07,14
GENE_0356,S08,2
GENE_0233,S08,10
GENE_0232,S08,71
GENE_0160,S08,15
GENE_0049,S08,1
GENE_0245,S08,15
GENE_0130,S08,47
GENE_0477,S08,26
GENE_0054,S08,14
GENE_0427,S08,11
GENE_0349,S08,28
GENE_0018,S08,17
GENE_0207,S08,33
GENE_0282,S08,25
GENE_0298,S08,28
GENE_0004,S08,8
GENE_0241,S08,64
GENE_0265,S08,3
GENE_0249,S08,75
GENE_0126,S08,5
GENE_0385,S08,55
GENE_0310,S08,5
GENE_0276,S08,6
GENE_0070,S08,5
GENE_0306,S08,21
GENE_0201,S08,17
GENE_0075,S08,16
GENE_0239,S08,6
GENE_0172,S08,19
GENE_0417,S08,125
GENE_0318,S08,69
GENE_0029,S08,19
GENE_0475,S08,14
GENE_0071,S08,9
GENE_0347,S08,27
GENE_0350,S08,6
GENE_0033,S08,13
GENE_0021,S08,3
GENE_0437,S08,19
GENE_0037,S08,35
GENE_0452,S08,10
GENE_0492,S08,61
GENE_0423,S08,4
GENE_0001,S08,0
GENE_0309,S08,11
GENE_0317,S08,29
GENE_0044,S08,51
GENE_0209,S08,9
GENE_0228,S08,55
GENE_0030,S08,18
GENE_0058,S08,12
GENE_0164,S08,18
GENE_0022,S08,36
GENE_0038,S08,6
GENE_0372,S08,53
GENE_0100,S08,128
GENE_0119,S08,2
GENE_0146,S08,10
GENE_0148,S08,17
GENE_0322,S08,8
GENE_0389,S08,5
GENE_0390,S08,4
GENE_0420,S08,16
GENE_0066,S08,42
GENE_0279,S08,21
GENE_0090,S08,1
GENE_0129,S08,32
GENE_0205,S08,0
GENE_0125,S08,45
GENE_0453,S08,4
GENE_0473,S08,6
GENE_0367,S08,7
GENE_0304,S08,3
GENE_0122,S08,29
GENE_0032,S08,6
GENE_0208,S08,15
GENE_0012,S08,20
GENE_0335,S08,19
GENE_0321,S08,14
GENE_0360,S08,3
GENE_0111,S08,24
GENE_0079,S08,7
GENE_0373,S08,1
GENE_0144,S08,3
GENE_0155,S08,42
GENE_0196,S08,35
GENE_0302,S08,7
GENE_0254,S08,4
GENE_0461,S08,15
GENE_0454,S08,106
GENE_0237,S08,11
GENE_0383,S08,21
GENE_0206,S08,28
GENE_0355,S08,11
GENE_0320,S08,11
GENE_0183,S08,24
GENE_0188,S08,16
GENE_0230,S08,19
GENE_0378,S08,30
GENE_0406,S08,17
GENE_0213,S08,15
GENE_0008,S08,7
GENE_0293,S08,14
GENE_0496,S08,1
GENE_0348,S08,16
GENE_0104,S08,21
GENE_0313,S08,42
GENE_0081,S08,3
GENE_0289,S08,87
GENE_0212,S08,5
GENE_0476,S08,38
GENE_0359,S08,3
GENE_0068,S08,31
GENE_0399,S08,2
GENE_0216,S08,12
GENE_0305,S08,109
GENE_0048,S08,14
GENE_0366,S08,14
GENE_0112,S08,28
GENE_0133,S08,26
GENE_0005,S08,10
GENE_0169,S08,24
GENE_0495,S08,141
GENE_0200,S08,11
GENE_0445,S08,21
GENE_0248,S08,36
GENE_0264,S08,63
GENE_0351,S08,21
GENE_0137,S08,21
GENE_0274,S08,0
GENE_0120,S08,92
GENE_0152,S08,1
GENE_0250,S08,20
GENE_0326,S08,9
GENE_0386,S08,29
GENE_0052,S08,21
GENE_0398,S08,19
GENE_0365,S08,21
GENE_0281,S08,58
GENE_0440,S08,35
GENE_0202,S08,5
GENE_0134,S08,37
GENE_0027,S08,43
GENE_0460,S08,3
GENE_0247,S08,11
GENE_0231,S08,24
GENE_0061,S08,6
GENE_0286,S08,56
GENE_0162,S08,15
GENE_0270,S08,24
GENE_0157,S08,5
GENE_0315,S08,13
GENE_0062,S08,2
GENE_0244,S08,1
GENE_0123,S08,45
GENE_0470,S08,9
GENE_0462,S08,4
GENE_0284,S08,2
GENE_0025,S08,5
GENE_0221,S08,1
GENE_0189,S08,55
GENE_0334,S08,34
GENE_0000,S08,7
GENE_0259,S08,96
GENE_0117,S08,21
GENE_0480,S08,8
GENE_0010,S08,2
GENE_0099,S08,93
GENE_0449,S08,6
GENE_0149,S08,1
GENE_0165,S08,45
GENE_0262,S08,117
GENE_0407,S08,55
GENE_0388,S08,22
GENE_0443,S08,16
GENE_0127,S08,12
GENE_0055,S08,23
GENE_0363,S08,16
GENE_0455,S08,11
GENE_0145,S08,17
GENE_0346,S08,5
GENE_0436,S08,4
GENE_0168,S08,3
GENE_0288,S08,9
GENE_0252,S08,13
GENE_0142,S08,4
GENE_0089,S08,25
GENE_0051,S08,51
GENE_0413,S08,12
GENE_0177,S08,2
GENE_0240,S08,4
GENE_0478,S08,41
GENE_0186,S08,4
GENE_0088,S08,28
GENE_0439,S08,41
GENE_0344,S08,4
GENE_0007,S08,8
GENE_0411,S08,4
GENE_0105,S08,3
GENE_0429,S08,16
GENE_0256,S08,4
GENE_0394,S08,15
GENE_0140,S08,12
GENE_0203,S08,20
GENE_0098,S08,16
GENE_0376,S08,75
GENE_0064,S08,6
GENE_0497,S08,6
GENE_0481,S08,14
GENE_0498,S08,23
GENE_0215,S08,11
GENE_0431,S08,9
GENE_0017,S08,7
GENE_0491,S08,10
GENE_0235,S08,1
GENE_0368,S08,31
GENE_0173,S08,0
GENE_0009,S08,9
GENE_0311,S08,6
GENE_0412,S08,37
GENE_0257,S08,18
GENE_0006,S08,63
GENE_0357,S08,4
GENE_0094,S08,17
GENE_0199,S08,4
GENE_0156,S08,75
GENE_0396,S08,3
GENE_0014,S08,20
GENE_0392,S08,58
GENE_0263,S08,13
GENE_0325,S08,4
GENE_0056,S08,10
GENE_0139,S08,10
GENE_0330,S08,6
GENE_0131,S08,35
GENE_0451,S08,102
GENE_0332,S08,10
GENE_0083,S08,2
GENE_0494,S08,12
GENE_0425,S08,243
GENE_0041,S08,9
GENE_0220,S08,70
GENE_0211,S08,48
GENE_0176,S08,1
GENE_0418,S08,30
GENE_0345,S08,84
GENE_0193,S08,13
GENE_0472,S08,9
GENE_0393,S08,5
GENE_0106,S08,4
GENE_0121,S08,5
GENE_0050,S08,9
GENE_0024,S08,14
GENE_0073,S08,6
GENE_0266,S08,11
GENE_0184,S08,3
GENE_0124,S08,14
GENE_0016,S08,26
GENE_0214,S08,1
GENE_0379,S08,30
GENE_0082,S08,71
GENE_0002,S08,8
GENE_0369,S08,65
GENE_0047,S08,12
GENE_0338,S08,3
GENE_0243,S08,11
GENE_0180,S08,22
GENE_0422,S08,19
GENE_0223,S08,10
GENE_0197,S08,5
GENE_0342,S08,14
GENE_0013,S08,4
GENE_0434,S08,12
GENE_0273,S08,6
GENE_0227,S08,0
GENE_0078,S08,66
GENE_0362,S08,29
GENE_0380,S08,33
GENE_0271,S08,3
GENE_0115,S08,7
GENE_0441,S08,36
GENE_0459,S08,21
GENE_0077,S08,87
GENE_0011,S08,15
GENE_0063,S08,5
GENE_0493,S08,7
GENE_0226,S08,13
GENE_0060,S08,7
GENE_0181,S08,30
GENE_0261,S08,46
GENE_0040,S08,16
GENE_0294,S08,6
GENE_0092,S08,3
GENE_0410,S08,11
GENE_0485,S08,4
GENE_0255,S08,0
GENE_0192,S08,28
GENE_0377,S08,131
GENE_0042,S08,3
GENE_0486,S08,38
GENE_0290,S08,10
GENE_0421,S08,9
GENE_0295,S08,40
GENE_0154,S08,16
GENE_0072,S08,12
GENE_0438,S08,18
GENE_0287,S08,5
GENE_0384,S08,33
GENE_0414,S08,8
GENE_0195,S08,5
GENE_0103,S08,22
GENE_0185,S08,7
GENE_0171,S08,12
GENE_0364,S08,8
GENE_0458,S08,31
GENE_0479,S08,23
GENE_0352,S08,13
GENE_0303,S08,33
GENE_0034,S08,48
GENE_0150,S08,17
GENE_0015,S08,19
GENE_0035,S08,4
GENE_0339,S08,7
GENE_0182,S08,9
GENE_0175,S08,8
GENE_0467,S08,10
GENE_0314,S08,11
GENE_0132,S08,12
GENE_0107,S08,16
GENE_0019,S08,23
GENE_0403,S08,9
GENE_0484,S08,2
GENE_0483,S08,11
GENE_0219,S08,16
GENE_0471,S08,5
GENE_0057,S08,15
GENE_0170,S08,47
GENE_0218,S08,35
GENE_0430,S08,11
GENE_0065,S08,59
GENE_0337,S08,16
GENE_0301,S08,7
GENE_0336,S08,8
GENE_0277,S08,5
GENE_0191,S08,14
GENE_0003,S08,23
GENE_0474,S08,13
GENE_0084,S08,12
GENE_0085,S08,10
GENE_0190,S08,28
GENE_0194,S08,26
GENE_0432,S08,4
GENE_0167,S08,2
GENE_0108,S08,41
GENE_0080,S08,1
GENE_0267,S08,9
GENE_0102,S08,8
GENE_0225,S08,2
GENE_0444,S08,15
GENE_0116,S08,14
GENE_0296,S08,4
GENE_0323,S08,1
GENE_0143,S08,6
GENE_0489,S08,24
GENE_0307,S08,1
GENE_0031,S08,16
GENE_0285,S08,10
GENE_0419,S08,25
GENE_0487,S08,16
GENE_0395,S08,3
GENE_0053,S08,38
GENE_0234,S08,18
GENE_0097,S08,10
GENE_0222,S08,14
GENE_0464,S08,10
GENE_0387,S08,3
GENE_0374,S08,10
GENE_0158,S08,56
GENE_0118,S08,6
GENE_0268,S08,0
GENE_0275,S08,31
GENE_0067,S08,11
GENE_0358,S08,1
GENE_0260,S08,38
GENE_0026,S08,8
GENE_0381,S08,65
GENE_0095,S08,13
GENE_0456,S08,12
GENE_0463,S08,111
GENE_0468,S08,13
GENE_0448,S08,33
GENE_0401,S08,30
GENE_0242,S08,33
GENE_0114,S08,61
GENE_0331,S08,13
GENE_0469,S08,8
GENE_0324,S08,14
GENE_0045,S08,3
GENE_0074,S08,110
GENE_0354,S08,22
GENE_0397,S08,12
GENE_0328,S08,7
GENE_0136,S08,0
GENE_0224,S08,1
GENE_0391,S08,27
GENE_0076,S08,5
GENE_0361,S08,7
GENE_0405,S08,15
GENE_0329,S08,64
GENE_0428,S08,25
GENE_0280,S08,23
GENE_0402,S08,4
GENE_0246,S08,3
GENE_0327,S08,50
GENE_0087,S08,6
GENE_0229,S08,8
GENE_0258,S08,36
GENE_0187,S08,20
GENE_0141,S08,21
GENE_0488,S08,105
GENE_0450,S08,5
GENE_0020,S08,110
GENE_0426,S08,9
GENE_0251,S08,17
GENE_0238,S08,82
GENE_0023,S08,17
GENE_0371,S08,11
GENE_0299,S08,33
GENE_0300,S08,12
GENE_0036,S08,7
GENE_0499,S08,4
GENE_0283,S08,1
GENE_0382,S08,94
GENE_0179,S08,2
GENE_0113,S08,18
GENE_0482,S08,12
GENE_0446,S08,19
GENE_0178,S08,21
GENE_0375,S08,10
GENE_0069,S08,5
GENE_0404,S08,19
GENE_0163,S08,22
GENE_0442,S08,7
GENE_0409,S08,65
GENE_0046,S08,18
GENE_0465,S08,18
GENE_0161,S08,19
GENE_0291,S08,33
GENE_0424,S08,10
GENE_0128,S08,5
GENE_0408,S08,24
GENE_0135,S08,10
GENE_0236,S08,7
GENE_0043,S08,21
GENE_0174,S08,48
GENE_0138,S08,15
GENE_0166,S08,35
GENE_0400,S08,129
GENE_0415,S08,19
GENE_0272,S08,186
GENE_0204,S08,22
GENE_0210,S08,0
GENE_0353,S08,32
GENE_0312,S08,18
GENE_0198,S08,33
GENE_0096,S08,18
GENE_0093,S08,13
GENE_0101,S08,6
GENE_0269,S08,10
GENE_0447,S08,23
GENE_0059,S08,7
GENE_0297,S08,24
GENE_0153,S08,87
GENE_0490,S08,21
GENE_0433,S08,1
GENE_0109,S08,6
GENE_0110,S08,52
GENE_0340,S08,14
GENE_0039,S08,11
GENE_0147,S08,15
GENE_0466,S08,6
GENE_0151,S08,54
GENE_0292,S08,6
GENE_0416,S08,11
GENE_0435,S08,3
GENE_0308,S08,8
GENE_0159,S08,14
GENE_0253,S08,7
GENE_0341,S08,43
GENE_0457,S08,6
GENE_0333,S08,17
GENE_0316,S08,27
GENE_0028,S08,6
GENE_0319,S08,0
GENE_0278,S08,1
GENE_0370,S08,47
GENE_0217,S08,6
GENE_0091,S08,192
GENE_0086,S08,8
GENE_0343,S08,13
GENE_0356,S09,1
GENE_0233,S09,13
GENE_0232,S09,56
GENE_0160,S09,38
GENE_0049,S09,10
GENE_0245,S09,22
GENE_0130,S09,23
GENE_0477,S09,22
GENE_0054,S09,20
GENE_0427,S09,7
GENE_0349,S09,34
GENE_0018,S09,20
GENE_0207,S09,17
GENE_0282,S09,27
GENE_0298,S09,49
GENE_0004,S09,8
GENE_0241,S09,55
GENE_0265,S09,11
GENE_0249,S09,101
GENE_0126,S09,11
GENE_0385,S09,33
GENE_0310,S09,15
GENE_0276,S09,10
GENE_0070,S09,9
GENE_0306,S09,6
GENE_0201,S09,22
GENE_0075,S09,24
GENE_0239,S09,6
GENE_0172,S09,15
GENE_0417,S09,156
GENE_0318,S09,58
GENE_0029,S09,21
GENE_0475,S09,8
GENE_0071,S09,23
GENE_0347,S09,25
GENE_0350,S09,1
GENE_0033,S09,9
GENE_0021,S09,3
GENE_0437,S09,12
GENE_0037,S09,20
GENE_0452,S09,2
GENE_0492,S09,58
GENE_0423,S09,3
GENE_0001,S09,2
GENE_0309,S09,12
GENE_0317,S09,34
GENE_0044,S09,78
GENE_0209,S09,8
GENE_0228,S09,37
GENE_0030,S09,7
GENE_0058,S09,7
GENE_0164,S09,27
GENE_0022,S09,18
GENE_0038,S09,1
GENE_0372,S09,42
GENE_0100,S09,42
GENE_0119,S09,11
GENE_0146,S09,13
GENE_0148,S09,19
GENE_0322,S09,14
GENE_0389,S09,6
GENE_0390,S09,6
GENE_0420,S09,15
GENE_0066,S09,23
GENE_0279,S09,19
GENE_0090,S09,8
GENE_0129,S09,34
GENE_0205,S09,1
GENE_0125,S09,36
GENE_0453,S09,2
GENE_0473,S09,7
GENE_0367,S09,9
GENE_0304,S09,3
GENE_0122,S09,24
GENE_0032,S09,10
GENE_0208,S09,11
GENE_0012,S09,16
GENE_0335,S09,18
GENE_0321,S09,23
GENE_0360,S09,4
GENE_0111,S09,43
GENE_0079,S09,9
GENE_0373,S09,2
GENE_0144,S09,8
GENE_0155,S09,58
GENE_0196,S09,36
GENE_0302,S09,11
GENE_0254,S09,5
GENE_0461,S09,16
GENE_0454,S09,130
GENE_0237,S09,10
GENE_0383,S09,10
GENE_0206,S09,35
GENE_0355,S09,10
GENE_0320,S09,9
GENE_0183,S09,7
GENE_0188,S09,11
GENE_0230,S09,8
GENE_0378,S09,33
GENE_0406,S09,8
GENE_0213,S09,24
GENE_0008,S09,19
GENE_0293,S09,13
GENE_0496,S09,1
GENE_0348,S09,26
GENE_0104,S09,26
GENE_0313,S09,30
GENE_0081,S09,1
GENE_0289,S09,77
GENE_0212,S09,12
GENE_0476,S09,44
GENE_0359,S09,3
GENE_0068,S09,31
GENE_0399,S09,2
GENE_0216,S09,3
GENE_0305,S09,67
GENE_0048,S09,10
GENE_0366,S09,14
GENE_0112,S09,24
GENE_0133,S09,25
GENE_0005,S09,16
GENE_0169,S09,14
GENE_0495,S09,120
GENE_0200,S09,5
GENE_0445,S09,20
GENE_0248,S09,40
GENE_0264,S09,45
GENE_0351,S09,43
GENE_0137,S09,26
GENE_0274,S09,5
GENE_0120,S09,50
GENE_0152,S09,4
GENE_0250,S09,12
GENE_0326,S09,9
GENE_0386,S09,12
GENE_0052,S09,12
GENE_0398,S09,14
GENE_0365,S09,21
GENE_0281,S09,49
GENE_0440,S09,16
GENE_0202,S09,12
GENE_0134,S09,37
GENE_0027,S09,44
GENE_0460,S09,1
GENE_0247,S09,17
GENE_0231,S09,16
GENE_0061,S09,4
GENE_0286,S09,33
GENE_0162,S09,18
GENE_0270,S09,10
GENE_0157,S09,7
GENE_0315,S09,16
GENE_0062,S09,5
GENE_0244,S09,7
GENE_0123,S09,60
GENE_0470,S09,6
GENE_0462,S09,4
GENE_0284,S09,1
GENE_0025,S09,2
GENE_0221,S09,6
GENE_0189,S09,40
GENE_0334,S09,35
GENE_0000,S09,6
GENE_0259,S09,166
GENE_0117,S09,25
GENE_0480,S09,8
GENE_0010,S09,3
GENE_0099,S09,82
GENE_0449,S09,3
GENE_0149,S09,6
GENE_0165,S09,32
GENE_0262,S09,161
GENE_0407,S09,56
GENE_0388,S09,23
GENE_0443,S09,27
GENE_0127,S09,31
GENE_0055,S09,22
GENE_0363,S09,21
GENE_0455,S09,24
GENE_0145,S09,16
GENE_0346,S09,5
GENE_0436,S09,17
GENE_0168,S09,1
GENE_0288,S09,7
GENE_0252,S09,13
GENE_0142,S09,6
GENE_0089,S09,9
GENE_0051,S09,53
GENE_0413,S09,28
GENE_0177,S09,3
GENE_0240,S09,7
GENE_0478,S09,19
GENE_0186,S09,2
GENE_0088,S09,5
GENE_0439,S09,25
GENE_0344,S09,1
GENE_0007,S09,15
GENE_0411,S09,4
GENE_0105,S09,4
GENE_0429,S09,15
GENE_0256,S09,2
GENE_0394,S09,29
GENE_0140,S09,5
GENE_0203,S09,28
GENE_0098,S09,10
GENE_0376,S09,72
GENE_0064,S09,8
GENE_0497,S09,7
GENE_0481,S09,13
GENE_0498,S09,21
GENE_0215,S09,10
GENE_0431,S09,7
GENE_0017,S09,9
GENE_0491,S09,2
GENE_0235,S09,4
GENE_0368,S09,68
GENE_0173,S09,3
GENE_0009,S09,6
GENE_0311,S09,9
GENE_0412,S09,35
GENE_0257,S09,11
GENE_0006,S09,38
GENE_0357,S09,4
GENE_0094,S09,13
GENE_0199,S09,7
GENE_0156,S09,112
GENE_0396,S09,8
GENE_0014,S09,25
GENE_0392,S09,29
GENE_0263,S09,12
GENE_0325,S09,12
GENE_0056,S09,8
GENE_0139,S09,15
GENE_0330,S09,13
GENE_0131,S09,41
GENE_0451,S09,122
GENE_0332,S09,9
GENE_0083,S09,3
GENE_0494,S09,9
GENE_0425,S09,240
GENE_0041,S09,5
GENE_0220,S09,62
GENE_0211,S09,66
GENE_0176,S09,3
GENE_0418,S09,13
GENE_0345,S09,99
GENE_0193,S09,13
GENE_0472,S09,14
GENE_0393,S09,3
