cell,cell_type,sample_type
X169082591827748.N,Pro-angiogenesis Macrophage,N
X169082618858910.N,Effector/Memory CD4+ T cells,N
X169082619063006.N,Blood Cell,N
X169082619553500.N,Pro-angiogenesis Macrophage,N
X169082637670814.N,Phagocytosis Macrophage,N
X169082638162269.N,Pro-angiogenesis Macrophage,N
X169082638518108.N,Natural killer cell,N
X169151713697117.N,Pro-angiogenesis Macrophage,N
X169151728606004.N,Pro-angiogenesis Macrophage,N
X169151728609566.N,Natural killer cell,N
X169151728831412.N,Pro-angiogenesis Macrophage,N
X169151729096995.N,Pro-angiogenesis Macrophage,N
X169151729192163.N,Pro-angiogenesis Macrophage,N
X169151741442347.N,Natural killer cell,N
X169151741451164.N,Natural killer cell,N
X169151741672798.N,Pro-angiogenesis Macrophage,N
X169151760316701.N,Pro-angiogenesis Macrophage,N
X169151760382684.N,Natural killer cell,N
X169156948388637.N,Effector/Memory CD8+ T cells,N
X169156962867998.N,Pro-angiogenesis Macrophage,N
X169156963069163.N,CD4 or CD8 T cell,N
X169156963165997.N,Blood Cell,N
X169156975421796.N,Effector/Memory CD8+ T cells,N
X169156975639795.N,Pro-angiogenesis Macrophage,N
X169156994841443.N,Natural killer cell,N
X169156995139507.N,Pro-angiogenesis Macrophage,N
X169158156380964.N,Pro-angiogenesis Macrophage,N
X169158156446062.N,Pro-angiogenesis Macrophage,N
X169158171585459.N,Pro-angiogenesis Macrophage,N
X169158184131947.N,Pro-angiogenesis Macrophage,N
X169158202219238.N,Pro-angiogenesis Macrophage,N
X169158202480934.N,Blood Cell,N
X169158202513316.N,Pro-angiogenesis Macrophage,N
X169158827265307.N,Effector/Memory CD8+ T cells,N
X169158827461925.N,Pro-angiogenesis Macrophage,N
X169158841911653.N,Effector/Memory CD4+ T cells,N
X169158842211636.N,Pro-angiogenesis Macrophage,N
X169158854761190.N,Lung Cancer Cell,N
X169158873306996.N,Effector/Memory CD4+ T cells,N
X169158873607398.N,Pro-angiogenesis Macrophage,N
X169158873934260.N,Lung Cancer Cell,N
X169174262507947.N,Pro-angiogenesis Macrophage,N
X169174263064878.N,Macrophage,N
X169174276959532.N,MAIT cells,N
X169174276991340.N,Macrophage,N
X169174276991715.N,Effector/Memory CD4+ T cells,N
X169174277216054.N,Effector/Memory CD4+ T cells,N
X169174277680371.N,Pro-angiogenesis Macrophage,N
X169174289536733.N,Pro-angiogenesis Macrophage,N
X169174289991916.N,Pro-angiogenesis Macrophage,N
X169174308415774.N,Effector/Memory CD4+ T cells,N
X169174308632997.N,Pro-angiogenesis Macrophage,N
X169174308907955.N,Pro-angiogenesis Macrophage,N
X169572486208805.N,Effector/Memory CD4+ T cells,N
X169572486240606.N,Pro-angiogenesis Macrophage,N
X169572486302005.N,Pro-angiogenesis Macrophage,N
X169572501179749.N,Pro-inflammatory Macrophage,N
X169572501444316.N,Pro-angiogenesis Macrophage,N
X169572513568670.N,Effector/Memory CD4+ T cells,N
X169572513569702.N,Pro-angiogenesis Macrophage,N
X169572514355483.N,Pro-angiogenesis Macrophage,N
X169572532439796.N,Pro-inflammatory Macrophage,N
X169579734818100.N,Natural killer cell,N
X169579749227229.N,Pro-angiogenesis Macrophage,N
X169579749432102.N,Phagocytosis Macrophage,N
X169579749464477.N,Effector/Memory CD4+ T cells,N
X169579749464988.N,Natural killer cell,N
X169579761260780.N,Pro-angiogenesis Macrophage,N
X169579761555878.N,Pro-angiogenesis Macrophage,N
X169579762112939.N,Effector/Memory CD8+ T cells,N
X169579780685045.N,Pro-angiogenesis Macrophage,N
X169579780880693.N,Pro-angiogenesis Macrophage,N
X169579780959531.N,Effector/Memory CD8+ T cells,N
X169587519372212.N,Normal Fibroblast,N
X169587519375092.N,Lung Cancer Cell,N
X169587533310686.N,Macrophage,N
X169587533835044.N,Phagocytosis Macrophage,N
X169587534060900.N,Lung Cancer Cell,N
X169587534125300.N,Pro-angiogenesis Macrophage,N
X169587546642676.N,Pro-angiogenesis Macrophage,N
X169587565516517.N,Pro-angiogenesis Macrophage,N
X169723750364980.N,Natural killer cell,N
X169723764882715.N,Effector/Memory CD4+ T cells,N
X169723777399539.N,Natural killer cell,N
X169727105550245.N,Pro-angiogenesis Macrophage,N
X169727105910499.N,Pro-angiogenesis Macrophage,N
X169727119746798.N,Pro-angiogenesis Macrophage,N
X169727119767987.N,Pro-angiogenesis Macrophage,N
X169727119969125.N,Pro-angiogenesis Macrophage,N
X169727132617629.N,Pro-angiogenesis Macrophage,N
X169727133079773.N,Pro-angiogenesis Macrophage,N
X169768847097245.N,Natural killer cell,N
X169768874100587.N,Normal Fibroblast,N
X169768893405533.N,Pro-angiogenesis Macrophage,N
X169793543060406.N,Pro-angiogenesis Macrophage,N
X169793543129909.N,Phagocytosis Macrophage,N
X169793543661811.N,CD8 T or NK cell,N
X169793557510964.N,Macrophage,N
X169793558034349.N,Macrophage,N
X169793558079723.N,Pro-angiogenesis Macrophage,N
X169793570433949.N,Natural killer cell,N
X169793570630579.N,Effector/Memory CD4+ T cells,N
X169793570887908.N,Pro-angiogenesis Macrophage,N
X169793588939635.N,Pro-angiogenesis Macrophage,N
X169793588939700.N,pDC,N
X169793589536612.N,Blood Cell,N
X169794750761910.N,Pro-angiogenesis Macrophage,N
X169794750764851.N,Effector/Memory CD8+ T cells,N
X169794750794989.N,Effector/Memory CD8+ T cells,N
X169794750801827.N,Macrophage,N
X169794751351093.N,Blood Cell,N
X169794751580582.N,Effector/Memory CD4+ T cells,N
X169794778086773.N,CD8 T or NK cell,N
X169794778610933.N,Pro-angiogenesis Macrophage,N
X169794778617629.N,Lung Cancer Cell,N
X169794796972318.N,Effector/Memory CD8+ T cells,N
X169794797681068.N,Pro-angiogenesis Macrophage,N
X169794797688668.N,CD4 or CD8 T cell,N
X169795556142492.N,Pro-angiogenesis Macrophage,N
X169795571117366.N,Pro-angiogenesis Macrophage,N
X169795571633565.N,Pro-angiogenesis Macrophage,N
X169795583399788.N,Effector/Memory CD4+ T cells,N
X169795603028389.N,Natural killer cell,N
X170137141074331.N,Effector/Memory CD4+ T cells,N
X170137155168542.N,Effector/Memory CD4+ T cells,N
X170137155652004.N,Pro-angiogenesis Macrophage,N
X170137167490347.N,Effector/Memory CD4+ T cells,N
X170137168307934.N,Pro-angiogenesis Macrophage,N
X170137186331444.N,Effector/Memory CD8+ T cells,N
X170180358552502.N,Mast cell,N
X170180359145245.N,Pro-angiogenesis Macrophage,N
X170180373075677.N,Effector/Memory CD4+ T cells,N
X170180373559027.N,Macrophage,N
X170180373797620.N,Pro-angiogenesis Macrophage,N
X170180386110236.N,Effector/Memory CD4+ T cells,N
X170180386180316.N,T or NK Cell,N
X170180404529908.N,Pro-angiogenesis Macrophage,N
X170180404697843.N,Pro-angiogenesis Macrophage,N
X170181029385949.N,Pro-angiogenesis Macrophage,N
X170181029452724.N,Natural killer cell,N
X170181029902757.N,Effector/Memory CD4+ T cells,N
X170181029910315.N,Pro-angiogenesis Macrophage,N
X170181029968604.N,Natural killer cell,N
X170181030013219.N,Effector/Memory CD4+ T cells,N
X170181044123374.N,Pro-angiogenesis Macrophage,N
X170181044385646.N,Effector/Memory CD4+ T cells,N
X170181057198374.N,Effector/Memory CD4+ T cells,N
X170181057264862.N,Pro-angiogenesis Macrophage,N
X170198358448859.N,Pro-angiogenesis Macrophage,N
X170198358767974.N,Pro-angiogenesis Macrophage,N
X170198358945011.N,Natural killer cell,N
X170198370761454.N,Blood Cell,N
X170198371028341.N,Pro-angiogenesis Macrophage,N
X170198371297075.N,Endothelial Cells,N
X170198390430643.N,Pro-angiogenesis Macrophage,N
X170198390459179.N,Lung Cancer Cell,N
X170199685949339.N,Natural killer cell,N
X170199700421926.N,Pro-inflammatory Macrophage,N
X170199700856027.N,Pro-angiogenesis Macrophage,N
X170199700891499.N,Pro-angiogenesis Macrophage,N
X170199713004251.N,Pro-angiogenesis Macrophage,N
X170199713729822.N,Effector/Memory CD8+ T cells,N
X170199732370677.N,Pro-angiogenesis Macrophage,N
X170199732603701.N,Natural killer cell,N
X170199732606894.N,Pro-angiogenesis Macrophage,N
X170199732607387.N,Non Blood Cell,N
X170258473540406.N,Pro-angiogenesis Macrophage,N
X170258473609461.N,Lung Cancer Cell,N
X170258488485805.N,Natural killer cell,N
X170258488539947.N,Pro-angiogenesis Macrophage,N
X170258500373422.N,Pro-angiogenesis Macrophage,N
X170258500610796.N,Pro-angiogenesis Macrophage,N
X170258500865379.N,Pro-angiogenesis Macrophage,N
X170258500872116.N,Pro-angiogenesis Macrophage,N
X170258519471909.N,Pro-angiogenesis Macrophage,N
X170265198913396.N,Pro-angiogenesis Macrophage,N
X170265199196532.N,Natural killer cell,N
X170265199426294.N,Effector/Memory CD4+ T cells,N
X170265211262700.N,Pro-angiogenesis Macrophage,N
X170265211484595.N,Pro-angiogenesis Macrophage,N
X170265212049317.N,Pro-angiogenesis Macrophage,N
X170265230359787.N,Pro-angiogenesis Macrophage,N
X170265230653222.N,Pro-angiogenesis Macrophage,N
X170268002736884.N,CD8 T or NK cell,N
X170268002839796.N,Natural killer cell,N
X170268003088172.N,Natural killer cell,N
X170268003253046.N,Pro-angiogenesis Macrophage,N
X170268003322213.N,Pro-angiogenesis Macrophage,N
X170268003330908.N,Natural killer cell,N
X170268017212195.N,Pro-angiogenesis Macrophage,N
X170268017215845.N,Phagocytosis Macrophage,N
X170268017515739.N,Macrophage,N
X170268029736797.N,Lung Cancer Cell,N
X170268029766452.N,Effector/Memory CD4+ T cells,N
X170268048873198.N,Pro-angiogenesis Macrophage,N
X170268049394014.N,Naive CD4+ T cells,N
X170276726925211.N,Pro-inflammatory Macrophage,N
X170276727417115.N,Effector/Memory CD4+ T cells,N
X170276727437212.N,Effector/Memory CD8+ T cells,N
X170276741332324.N,Macrophage,N
X170276773050230.N,Natural killer cell,N
X170276773096798.N,Pro-angiogenesis Macrophage,N
X170327476389747.N,Pro-angiogenesis Macrophage,N
X170327488486244.N,Pro-angiogenesis Macrophage,N
X170327488510300.N,Pro-angiogenesis Macrophage,N
X170327507160419.N,Naive CD4+ T cells,N
X170327507585379.N,Pro-angiogenesis Macrophage,N
X170327507843939.N,Effector/Memory CD4+ T cells,N
X170327507912988.N,Effector/Memory CD8+ T cells,N
X170343433161627.N,Pro-angiogenesis Macrophage,N
X170343433164532.N,Pro-angiogenesis Macrophage,N
X170343433201893.N,T or NK Cell,N
X170343433391339.N,Pro-angiogenesis Macrophage,N
X170343433464099.N,Macrophage,N
X170343433652462.N,Blood Cell,N
X170343460162907.N,Pro-angiogenesis Macrophage,N
X170343460202420.N,Pro-angiogenesis Macrophage,N
X170343460682469.N,Pro-angiogenesis Macrophage,N
X170343479011699.N,Pro-angiogenesis Macrophage,N
X170343479307635.N,Natural killer cell,N
X170343479786348.N,Macrophage,N
X170343479827803.N,Pro-angiogenesis Macrophage,N
X170344372988132.N,Any Cell,N
X170344373180189.N,Natural killer cell,N
X170344387304869.N,cDC2,N
X170344387393891.N,Phagocytosis Macrophage,N
X170344387566004.N,Pro-angiogenesis Macrophage,N
X170344399879411.N,Pro-angiogenesis Macrophage,N
X170344399989548.N,Effector/Memory CD4+ T cells,N
X170344400140588.N,Pro-angiogenesis Macrophage,N
X170344400513844.N,Effector/Memory CD4+ T cells,N
X170660052461422.N,Natural killer cell,N
X170660052516133.N,Pro-angiogenesis Macrophage,N
X170660067133868.N,Pro-angiogenesis Macrophage,N
X170660080015717.N,Natural killer cell,N
X170660080077534.N,Endothelial Cells,N
X170660080503211.N,Pro-angiogenesis Macrophage,N
X170660080510877.N,Pro-angiogenesis Macrophage,N
X170660080601827.N,Pro-angiogenesis Macrophage,N
X170660098952566.N,Effector/Memory CD4+ T cells,N
X170660099184436.N,Pro-angiogenesis Macrophage,N
X170745952660187.N,Pro-angiogenesis Macrophage,N
X170745967103261.N,Effector/Memory CD4+ T cells,N
X170745979889965.N,Pro-angiogenesis Macrophage,N
X170745979890916.N,Macrophage,N
X170745997966237.N,Macrophage,N
X170745998010603.N,Pro-angiogenesis Macrophage,N
X170745998796510.N,Pro-angiogenesis Macrophage,N
X170798565419805.N,Effector/Memory CD8+ T cells,N
X170798565484461.N,Pro-inflammatory Macrophage,N
X170798579930931.N,Effector/Memory CD4+ T cells,N
X170798592673717.N,CAFadi,N
X170798592711013.N,Pro-angiogenesis Macrophage,N
X170798592935789.N,Macrophage,N
X170798593236195.N,Effector/Memory CD4+ T cells,N
X170798593304299.N,Natural killer cell,N
X170798611385062.N,Effector/Memory CD4+ T cells,N
X170798611553699.N,Pro-angiogenesis Macrophage,N
X170798611852196.N,Lung Cancer Cell,N
X170877888380339.N,Natural killer cell,N
X170877888412900.N,Lung Cancer Cell,N
X170877888613158.N,Lung Cancer Cell,N
X170877888650099.N,Pro-angiogenesis Macrophage,N
X170877903062758.N,Natural killer cell,N
X170877903366068.N,Pro-angiogenesis Macrophage,N
X170877903386467.N,Pro-angiogenesis Macrophage,N
X170877903396252.N,Effector/Memory CD8+ T cells,N
X170877915379564.N,Effector/Memory CD4+ T cells,N
X170877915450093.N,Pro-angiogenesis Macrophage,N
X170877915946228.N,Pro-angiogenesis Macrophage,N
X170877915974382.N,Effector/Memory CD4+ T cells,N
X170877934005533.N,Effector/Memory CD4+ T cells,N
X191026787411686.N,Effector/Memory CD4+ T cells,N
X191026787727267.N,Macrophage,N
X191026787896094.N,Pro-angiogenesis Macrophage,N
X191026787937124.N,Macrophage,N
X191026802318694.N,Effector/Memory CD8+ T cells,N
X191026802617124.N,Macrophage,N
X191026814667493.N,Pro-angiogenesis Macrophage,N
X191026814675886.N,Macrophage,N
X191026814928693.N,Pro-angiogenesis Macrophage,N
X191026814957916.N,pDC,N
X191026833537454.N,Pro-angiogenesis Macrophage,N
X191026834042078.N,Pro-angiogenesis Macrophage,N
X191080757582172.N,Effector/Memory CD8+ T cells,N
X191080757648158.N,Pro-angiogenesis Macrophage,N
X191080757684147.N,Natural killer cell,N
X191080758107365.N,Effector/Memory CD4+ T cells,N
X191080789821339.N,Blood Cell,N
X191096715111324.N,Pro-angiogenesis Macrophage,N
X191096715687796.N,Macrophage,N
X191096742100396.N,Lung Cancer Cell,N
X191096742406941.N,Pro-angiogenesis Macrophage,N
X191096761740085.N,Pro-angiogenesis Macrophage,N
X191210531543276.N,Pro-angiogenesis Macrophage,N
X191210558778611.N,Effector/Memory CD4+ T cells,N
X191210559073068.N,Pro-angiogenesis Macrophage,N
X191210559233437.N,Pro-angiogenesis Macrophage,N
X191210559330598.N,Pro-angiogenesis Macrophage,N
X191210578426668.N,Effector/Memory CD4+ T cells,N
X191215631719707.N,Pro-angiogenesis Macrophage,N
X191215631821110.N,Effector/Memory CD4+ T cells,N
X191215631821659.N,Pro-angiogenesis Macrophage,N
X191215632337270.N,Natural killer cell,N
X191215646694236.N,Pro-angiogenesis Macrophage,N
X191215646763436.N,Macrophage,N
X191215646984621.N,CAFinfla,N
X191215647014108.N,Pro-angiogenesis Macrophage,N
X191215647213341.N,Pro-angiogenesis Macrophage,N
X191215659240165.N,Effector/Memory CD8+ T cells,N
X191215659866422.N,Blood Cell,N
X191215678176491.N,Pro-inflammatory Macrophage,N
X191226637602220.N,Macrophage,N
X191226638448950.N,Pro-angiogenesis Macrophage,N
X191226652511139.N,Pro-angiogenesis Macrophage,N
X191226652577124.N,Pro-angiogenesis Macrophage,N
X191226652845804.N,Effector/Memory CD4+ T cells,N
X191226653071773.N,Effector/Memory CD4+ T cells,N
X191226653075877.N,Pro-angiogenesis Macrophage,N
X191226664873315.N,Pro-angiogenesis Macrophage,N
X191226684028766.N,Pro-angiogenesis Macrophage,N
X191226684270894.N,Natural killer cell,N
X191226684521892.N,Pro-angiogenesis Macrophage,N
X191553861007733.N,Pro-angiogenesis Macrophage,N
X191553861204894.N,CD4 or CD8 T cell,N
X191553861211933.N,Pro-angiogenesis Macrophage,N
X191553887988981.N,Pro-angiogenesis Macrophage,N
X191553907157275.N,Natural killer cell,N
X191553907374381.N,Effector/Memory CD4+ T cells,N
X191576409028331.N,Pro-angiogenesis Macrophage,N
X191576409032435.N,Effector/Memory CD4+ T cells,N
X191576409852252.N,T or NK Cell,N
X191576423745909.N,Stromal Cell,N
X191576424200931.N,Pro-angiogenesis Macrophage,N
X191576424438051.N,Pro-angiogenesis Macrophage,N
X191576436271973.N,Effector/Memory CD4+ T cells,N
X191576437119259.N,Pro-angiogenesis Macrophage,N
X191576455637404.N,Pro-angiogenesis Macrophage,N
X191576455658731.N,Pro-angiogenesis Macrophage,N
X191576455670686.N,Pro-angiogenesis Macrophage,N
X191645396954524.N,Macrophage,N
X191645397204403.N,Natural killer cell,N
X191645397236590.N,Pro-angiogenesis Macrophage,N
X191645397707685.N,CAFadi,N
X191645411563875.N,Pro-angiogenesis Macrophage,N
X191645411596149.N,Pro-angiogenesis Macrophage,N
X191645412349684.N,Effector/Memory CD4+ T cells,N
X191645412407221.N,Pro-angiogenesis Macrophage,N
X191645412444901.N,Effector/Memory CD4+ T cells,N
X191645424925613.N,Lung Cancer Cell,N
X191645443016606.N,Phagocytosis Macrophage,N
X191645443288358.N,Pro-angiogenesis Macrophage,N
X191645443909854.N,Pro-angiogenesis Macrophage,N
X191647275932965.N,Macrophage,N
X191647290641126.N,Pro-angiogenesis Macrophage,N
X191647290710244.N,Pro-angiogenesis Macrophage,N
X191647290870516.N,Natural killer cell,N
X191647291140963.N,Natural killer cell,N
X191647291205534.N,Effector/Memory CD8+ T cells,N
X191647291395484.N,Pro-angiogenesis Macrophage,N
X191647303298405.N,Natural killer cell,N
X191647303518509.N,Effector/Memory CD8+ T cells,N
X191647303974181.N,Effector/Memory CD4+ T cells,N
X191647303981277.N,Effector/Memory CD8+ T cells,N
X191647322064798.N,Pro-angiogenesis Macrophage,N
X191647322429677.N,Pro-angiogenesis Macrophage,N
X191647322684142.N,Pro-angiogenesis Macrophage,N
X191647322881243.N,Pro-angiogenesis Macrophage,N
X191691433569068.N,Effector/Memory CD4+ T cells,N
X191691433917853.N,Blood Cell,N
X191691434116973.N,Effector/Memory CD8+ T cells,N
X191691434388190.N,Pro-angiogenesis Macrophage,N
X191691434440564.N,Effector/Memory CD4+ T cells,N
X191691448577444.N,Macrophage,N
X191691449022709.N,Lung Cancer Cell,N
X191691449032036.N,Natural killer cell,N
X191691449126115.N,Natural killer cell,N
X191691461646638.N,Natural killer cell,N
X191691461705123.N,Effector/Memory CD8+ T cells,N
X191691461707699.N,Effector/Memory CD4+ T cells,N
X191691480521115.N,Phagocytosis Macrophage,N
X191691480587493.N,Effector/Memory CD4+ T cells,N
X191691480590110.N,Pro-angiogenesis Macrophage,N
X191708881972059.N,Pro-angiogenesis Macrophage,N
X191708882164011.N,Pro-angiogenesis Macrophage,N
X191708896872293.N,Effector/Memory CD4+ T cells,N
X191708897142508.N,Macrophage,N
X191756825413989.N,Effector/Memory CD8+ T cells,N
X191756825680156.N,Pro-angiogenesis Macrophage,N
X191756844296603.N,Pro-angiogenesis Macrophage,N
X191756844586789.N,Pro-angiogenesis Macrophage,N
X191760421809380.N,Pro-angiogenesis Macrophage,N
X191760468142437.N,Natural killer cell,N
X191774126623589.N,Macrophage,N
X191774126983019.N,Natural killer cell,N
X191774127246053.N,Natural killer cell,N
X191774138977134.N,Pro-angiogenesis Macrophage,N
X191774139234156.N,Effector/Memory CD4+ T cells,N
X192101737479467.N,Natural killer cell,N
X192101738035510.N,Naive CD4+ T cells,N
X192101752421622.N,Effector/Memory CD4+ T cells,N
X192101752465637.N,Mast cell,N
X192101764786420.N,Pro-angiogenesis Macrophage,N
X192101765208876.N,Lung Cancer Cell,N
X192121064548259.N,Effector/Memory CD4+ T cells,N
X192121064778525.N,Pro-angiogenesis Macrophage,N
X192121079257821.N,Pro-angiogenesis Macrophage,N
X192121079285619.N,Pro-angiogenesis Macrophage,N
X192121079753075.N,Pro-angiogenesis Macrophage,N
X192121080047331.N,Pro-angiogenesis Macrophage,N
X192121110976243.N,Effector/Memory CD4+ T cells,N
X192121111271670.N,Macrophage,N
X192180135287604.N,Pro-angiogenesis Macrophage,N
X192180135611124.N,Pro-angiogenesis Macrophage,N
X192180147600747.N,Pro-angiogenesis Macrophage,N
X192180148170140.N,Pro-angiogenesis Macrophage,N
X192180148201332.N,Blood Cell,N
X192180167064948.N,Pro-angiogenesis Macrophage,N
X192180167329715.N,Effector/Memory CD4+ T cells,N
X192255416454070.N,Pro-angiogenesis Macrophage,N
X192255416487155.N,Pro-angiogenesis Macrophage,N
X192255416719286.N,CD4 or CD8 T cell,N
X192255416756123.N,Pro-angiogenesis Macrophage,N
X192255417313523.N,Pro-angiogenesis Macrophage,N
X192255417314011.N,Macrophage,N
X192255463384926.N,Effector/Memory CD4+ T cells,N
X192306956384683.N,Pro-angiogenesis Macrophage,N
X192306970782131.N,Pro-angiogenesis Macrophage,N
X192306971265331.N,Effector/Memory CD4+ T cells,N
X192306971294635.N,Pro-angiogenesis Macrophage,N
X192306971626909.N,Natural killer cell,N
X192306983593844.N,Pro-angiogenesis Macrophage,N
X192306983594334.N,Macrophage,N
X192306983683934.N,Pro-angiogenesis Macrophage,N
X192306983886179.N,Lung Cancer Cell,N
X192306984114397.N,Lung Cancer Cell,N
X192306984117987.N,Blood Cell,N
X192307002297699.N,Pro-angiogenesis Macrophage,N
X192307002558899.N,Pro-angiogenesis Macrophage,N
X192315278387124.N,Effector/Memory CD4+ T cells,N
X192315305089758.N,Lung Cancer Cell,N
X192315305442526.N,Pro-angiogenesis Macrophage,N
X192315305675549.N,Pro-angiogenesis Macrophage,N
X192315305715435.N,Lung Cancer Cell,N
X192315323771115.N,Pro-angiogenesis Macrophage,N
X192317693512628.N,Pro-angiogenesis Macrophage,N
X192317693572893.N,Pro-angiogenesis Macrophage,N
X192317694273819.N,CD8 T or NK cell,N
X192317721004269.N,Pro-angiogenesis Macrophage,N
X192317739625268.N,Pro-angiogenesis Macrophage,N
X192317740209972.N,Macrophage,N
X192317740234534.N,Blood Cell,N
X192317740497142.N,Pro-inflammatory Macrophage,N
X192325880834396.N,Effector/Memory CD4+ T cells,N
X192325908543325.N,Natural killer cell,N
X192325926894893.N,Pro-angiogenesis Macrophage,N
X192325927451438.N,Effector/Memory CD4+ T cells,N
X192325927790814.N,Pro-angiogenesis Macrophage,N
X192653640456099.N,Effector/Memory CD4+ T cells,N
X192653640780061.N,Natural killer cell,N
X192653641244067.N,Pro-angiogenesis Macrophage,N
X192653641272245.N,Blood Cell,N
X192653655169259.N,Effector/Memory CD4+ T cells,N
X192653655693100.N,Pro-angiogenesis Macrophage,N
X192653655730078.N,cDC1,N
X192653668534645.N,Effector/Memory CD4+ T cells,N
X192653668600558.N,Macrophage,N
X192653686925164.N,CD8 T or NK cell,N
X192653687147430.N,Natural killer cell,N
X192653687179691.N,Pro-angiogenesis Macrophage,N
X192653687219996.N,Pro-angiogenesis Macrophage,N
X192653687417067.N,Effector/Memory CD4+ T cells,N
X192678068403635.N,pDC,N
X192678082824622.N,Macrophage,N
X192678083116396.N,Pro-angiogenesis Macrophage,N
X192678083586411.N,Pro-angiogenesis Macrophage,N
X192678095449445.N,Effector/Memory CD4+ T cells,N
X192678095707446.N,CD4 or CD8 T cell,N
X192678114281820.N,Effector/Memory CD8+ T cells,N
X192678114769710.N,Macrophage,N
X192678115076900.N,Pro-angiogenesis Macrophage,N
X192678115108638.N,Effector/Memory CD4+ T cells,N
X192718870362476.N,Pro-angiogenesis Macrophage,N
X192718870371549.N,Pro-angiogenesis Macrophage,N
X192718870604598.N,Natural killer cell,N
X192718870824884.N,Pro-angiogenesis Macrophage,N
X192718871128996.N,Effector/Memory CD4+ T cells,N
X192718885272364.N,Pro-angiogenesis Macrophage,N
X192718885468595.N,Endothelial Cells,N
X192718885570860.N,Effector/Memory CD4+ T cells,N
X192718897593189.N,Effector/Memory CD8+ T cells,N
X192718898055597.N,Natural killer cell,N
X192718916414702.N,Effector/Memory CD4+ T cells,N
X192718916730142.N,Effector/Memory CD8+ T cells,N
X192729608052075.N,Effector/Memory CD4+ T cells,N
X192729608285084.N,Endothelial Cells,N
X192729622441243.N,Effector/Memory CD4+ T cells,N
X192729635018461.N,Pro-angiogenesis Macrophage,N
X192729635252958.N,Effector/Memory CD8+ T cells,N
X192729635285750.N,Effector/Memory CD8+ T cells,N
X192729635535269.N,Pro-angiogenesis Macrophage,N
X192729635736299.N,Effector/Memory CD4+ T cells,N
X192729635741093.N,Natural killer cell,N
X192729653889459.N,Pro-angiogenesis Macrophage,N
X192729654159205.N,Pro-angiogenesis Macrophage,N
X192729654352683.N,Effector/Memory CD8+ T cells,N
X192745848814430.N,Macrophage,N
X192745848878963.N,Blood Cell,N
X192745862973300.N,Blood Cell,N
X192745894165430.N,Natural killer cell,N
X192745894275947.N,Pro-angiogenesis Macrophage,N
X192747056256814.N,Pro-angiogenesis Macrophage,N
X192747056577964.N,Pro-angiogenesis Macrophage,N
X192747070970078.N,Effector/Memory CD4+ T cells,N
X192747070970803.N,Macrophage,N
X192747071031526.N,Pro-angiogenesis Macrophage,N
X192747071268766.N,Pro-angiogenesis Macrophage,N
X192747083361011.N,Macrophage,N
X192747083614556.N,pDC,N
X192747084073374.N,Natural killer cell,N
X192788797799325.N,Pro-angiogenesis Macrophage,N
X192788812385716.N,Effector/Memory CD8+ T cells,N
X192788812740907.N,Natural killer cell,N
X192788813270387.N,Lung Cancer Cell,N
X192788825500573.N,Pro-angiogenesis Macrophage,N
X192788825818859.N,Pro-angiogenesis Macrophage,N
X192788844108061.N,Pro-angiogenesis Macrophage,N
X192788844141859.N,Effector/Memory CD8+ T cells,N
X192788844664750.N,Effector/Memory CD4+ T cells,N
X192806917158757.N,Pro-angiogenesis Macrophage,N
X192806917401462.N,Pro-angiogenesis Macrophage,N
X192806917466478.N,pDC,N
X192806931787060.N,Pro-angiogenesis Macrophage,N
X192806932564388.N,Effector/Memory CD4+ T cells,N
X192806932565404.N,Effector/Memory CD4+ T cells,N
X192806944421613.N,Pro-angiogenesis Macrophage,N
X192806945155318.N,Macrophage,N
X192859679438708.N,Non Blood Cell,N
X192859679705389.N,Pro-angiogenesis Macrophage,N
X192859680196973.N,Natural killer cell,N
X192859692779941.N,Effector/Memory CD8+ T cells,N
X192859710868396.N,Pro-angiogenesis Macrophage,N
X192859711323571.N,Pro-angiogenesis Macrophage,N
X192859711686492.N,Pro-angiogenesis Macrophage,N
X195426042202854.N,Pro-angiogenesis Macrophage,N
X195426069146419.N,Pro-angiogenesis Macrophage,N
X195426069203686.N,Lung Cancer Cell,N
X195426069924195.N,Pro-angiogenesis Macrophage,N
X195546167032235.N,Pro-angiogenesis Macrophage,N
X195546167495534.N,Pro-angiogenesis Macrophage,N
X195546181450142.N,Effector/Memory CD8+ T cells,N
X195546181978013.N,Pro-angiogenesis Macrophage,N
X195546182274461.N,Pro-angiogenesis Macrophage,N
X195546194331486.N,Pro-angiogenesis Macrophage,N
X195546194828574.N,Macrophage,N
X195546213150115.N,Pro-angiogenesis Macrophage,N
X195547374938909.N,Pro-angiogenesis Macrophage,N
X195547389348268.N,Pro-angiogenesis Macrophage,N
X195547389421870.N,Effector/Memory CD4+ T cells,N
X195547389443438.N,Endothelial Cells,N
X195547389970269.N,cDC2,N
X195547390135708.N,Macrophage,N
X195547402292021.N,Effector/Memory CD4+ T cells,N
X195547421660965.N,Effector/Memory CD8+ T cells,N
X195562272831910.N,Pro-angiogenesis Macrophage,N
X195562273453918.N,Lung Cancer Cell,N
X195562318982382.N,Pro-angiogenesis Macrophage,N
X195562319858396.N,Effector/Memory CD8+ T cells,N
X195606430760179.N,Natural killer cell,N
X195606431001901.N,Pro-angiogenesis Macrophage,N
X195606431099171.N,Pro-angiogenesis Macrophage,N
